札番号,元のカタカナ,カタカナ決まり字,単語数,総文字数,最終抽出単語リスト
87,ムラサメノ　ツユモマダヒヌ　マキノハニ,ム,7,16,ム ムラ サメ サメノ メノ ムラサ ラサメ
88,ナニワエノ　アシノカリネノ　ヒトヨユエ,ナニワエ,7,16,ナニ ワエ ワエノ エノ アシ アシノ ニワ
89,タマノオヨ　タエナバタエネ　ナガラエバ,タマ,7,16,タマ ノオ ノオヨ オヨ タマノ マノ タエ
90,ミセバヤナ　ヲジマノアマノ　ソデダニモ,ミセ,7,16,ミセ バヤ バヤナ ヤナ ミセバ セバ ヲジ
91,キリギリス　ナクヤシモヨノ　サムシロニ,キリ,7,16,キリ ギリ ギリス リス キリギ リギ ナク
92,ワガソデワ　シホイニミエヌ　オキノイシノ,ワガソ,7,16,ワガソ ワガ ソデ ソデワ デワ ガソ シホ
93,ヨノナカワ　ツネニモガモナ　ナギサコグ,ヨノナカハ,7,16,ヨノ ナカ ナカワ カワ ツネ ツネニ ノナ
94,ミヨシノノ　ヤマノアキカゼ　サヨフケテ,ミヨ,7,16,ミヨ シノ シノノ ノノ ミヨシ ヨシ ヤマ
95,オオケナク　ウキヨノタミニ　オオウカナ,オオケ,7,16,オオケ オオ ケナ ケナク ナク オケ ウキ
96,ハナサソウ　アラシノニワノ　ユキナラデ,ハナサ,7,16,ハナサ ハナ サソ サソウ ソウ ナサ アラ
97,コヌヒトヲ　マツホノウラノ　ユフナギニ,コヌ,7,16,コヌ ヒト ヒトヲ トヲ コヌヒ ヌヒ マツ
98,カゼソヨグ　ナラノオガワノ　ユウグレワ,カゼソ,7,16,カゼソ カゼ ソヨ ソヨグ ヨグ ゼソ ナラ
99,ヒトモオシ　ヒトモウラメシ　アヂキナク,ヒトモ,7,16,ヒトモ ヒト モオ モオシ オシ トモ モウ
100,モモシキヤ　フルキノキバノ　シノブニモ,モモ,7,16,モモ シキ シキヤ キヤ モモシ モシ フル
