札番号,元のカタカナ,元のひらがな,カタカナ決まり字,ひらがな決まり字,単語数（制限なし）,総文字数（制限なし）,カタカナ決まり字パーツ,ひらがな決まり字パーツ,カタカナパーツ(1句目),ひらがなパーツ(1句目),カタカナパーツ(2句目),ひらがなパーツ(2句目),手動追加パーツ
57,メグリアイテ　ミシヤソレトモ　ワカヌマニ,めぐりあひて　みしやそれとも　わかぬまに,メ,め,13,28,メ,め,メグ リア アイテ イテ,めぐ りあ あひて ひて,,,めぐり 逢ひて 逢ひ
58,アリマヤマ　イナノササハラ　カゼフケバ,ありまやま　いなのささはら　かぜふけば,アリマ,ありま,12,28,アリマ,ありま,アリ マヤ マヤマ ヤマ,あり まや まやま やま,,,有馬 馬山
59,ヤスラワデ　ネナマシモノヲ　サヨフケテ,やすらはで　ねなましものを　さよふけて,ヤス,やす,12,28,ヤス,やす,ラワ ラワデ ワデ,らは らはで はで,,,やすら 安ら 和で 夜須ら
60,オオエヤマ　イクノノミチノ　トオケレバ,おおえやま　いくののみちの　とおければ,オホエ,おおえ,12,28,オホエ,おおえ,オオ エヤ エヤマ ヤマ,おお えや えやま やま,,,大江 江山
61,イニシエノ　ナラノミヤコノ　ヤエザクラ,いにしへの　ならのみやこの　やへざくら,イニ,いに,12,28,イニ,いに,シエ シエノ エノ,しへ しへの への,,,いにし 古の イに イニし
62,ヨヲコメテ　トリノソラネワ　ハカルトモ,よをこめて　とりのそらねは　はかるとも,ヨヲ,よを,12,28,ヨヲ,よを,コメ コメテ メテ,こめ こめて めて,,,夜を 夜をこ よお 込めて
63,イマワタダ　オモイタエナン　トバカリヲ,いまはただ　おもひたえなむ　とばかりを,イマハ,いまは,12,28,イマハ,いまは,イマ ワタ ワタダ タダ,いま はた はただ ただ,,,今は 今わ
64,アサボラケ　ウヂノカワギリ　タエダエニ,あさぼらけ　うぢのかはぎり　たえだえに,アサボラケウ,あさぼらけう,12,28,,,アサ ボラ ボラケ ラケ,あさ ぼら ぼらけ らけ,ウヂ ウヂノ,うぢ うぢの,
65,ウラミワビ　ホサヌソデダニ　アルモノヲ,うらみわび　ほさぬそでだに　あるものを,ウラ,うら,12,28,ウラ,うら,ミワ ミワビ ワビ,みわ みわび わび,,,恨みは 恨みわ 詫び 恨み
66,モロトモニ　アワレトオモエ　ヤマザクラ,もろともに　あわれとおもへ　やまざくら,モロ,もろ,12,28,モロ,もろ,トモ トモニ モニ,とも ともに もに,,,もろと 諸共 盛ろ 諸共に
67,ハルノヨノ　ユメバカリナル　タマクラニ,はるのよの　ゆめばかりなる　たまくらに,ハルノ,はるの,12,28,ハルノ,はるの,ハル ノヨ ノヨノ ヨノ,はる のよ のよの よの,,,春の 夜の
68,ココロニモ　アラデウキヨニ　ナガラエバ,こころにも　あらでうきよに　ながらへば,ココロニ,こころに,12,28,,,ココ ロニ ロニモ ニモ,ここ ろに ろにも にも,アラ アラデ,あら あらで,
69,アラシフク　ミムロノヤマノ　モミヂバワ,あらしふく　みむろのやまの　もみぢばは,アラシ,あらし,12,28,アラシ,あらし,アラ シフ シフク フク,あら しふ しふく ふく,,,嵐吹 吹く
70,サビシサニ　ヤドヲタチイデテ　ナガムレバ,さびしさに　やどをたちいでて　ながむれば,サ,さ,13,28,サ,さ,サビ シサ シサニ サニ,さび しさ しさに さに,,,寂し 寂しさ 錆びし
71,ユウサレバ　カドタノイナバ　オトヅレテ,ゆうされば　かどたのいなば　おとづれて,ユフ,ゆふ,12,28,ユフ,ゆふ,ユウ サレ サレバ レバ,ゆう され されば れば,,,夕去れ 夕され
72,オトニキク　タカシノハマノ　アダナミワ,おとにきく　たかしのはまの　あだなみは,オト,おと,12,28,オト,おと,ニキ ニキク キク,にき にきく きく,,,音に 音に聞 聞く に聞く
73,タカサゴノ　オノエノサクラ　サキニケリ,たかさごの　をのへのさくら　さきにけり,タカ,たか,12,28,タカ,たか,サゴ サゴノ ゴノ,さご さごの ごの,,,高砂 高砂の 砂の 高さご
74,ウカリケル　ヒトヲハツセノ　ヤマオロシヨ,うかりける　ひとをはつせの　やまおろしよ,ウカ,うか,12,28,ウカ,うか,リケ リケル ケル,りけ りける ける,,,憂か 憂かり 羽化 受かり
75,チギリオキシ　サセモガツユヲ　イノチニテ,ちぎりおきし　させもがつゆを　いのちにて,チギリオ,ちぎりお,12,28,,,チギ リオ オキシ キシ,ちぎ りお おきし きし,サセ サセモ,させ させも,
76,ワタノハラ　コギイデテミレバ　ヒサカタノ,わたのはら　こぎいでてみれば　ひさかたの,ワタノハラコ,わたのはらこ,12,28,,,ワタ ノハ ノハラ ハラ,わた のは のはら はら,コギ コギイ,こぎ こぎい,
77,セヲハヤミ　イワニセカルル　タキガワノ,せをはやみ　いわにせかるる　たきがわの,セ,せ,14,28,セ,せ,セヲ ハヤ ハヤミ ヤミ,せを はや はやみ やみ,,,瀬を 瀬尾 早見 セオ
78,アワジシマ　カヨウチドリノ　ナクコエニ,あわじしま　かようちどりの　なくこえに,アハヂ,あわじ,12,28,アハヂ,あわじ,アワ ジシ ジシマ シマ,あわ じし じしま しま,,,淡路 路島
79,アキカゼニ　タナビククモノ　タエマヨリ,あきかぜに　たなびくくもの　たえまより,アキカ,あきか,12,28,アキカ,あきか,アキ カゼ カゼニ ゼニ,あき かぜ かぜに ぜに,,,秋風 風に
80,ナガカラン　ココロモシラズ　クロカミノ,ながからむ　こころもしらず　くろかみの,ナガカ,ながか,12,28,ナガカ,ながか,ナガ カラ カラン ラン,なが から からむ らむ,,,長か 名が
81,ホトトギス　ナキツルカタヲ　ナガムレバ,ほととぎす　なきつるかたを　ながむれば,ホ,ほ,13,28,ホ,ほ,ホト トギ トギス ギス,ほと とぎ とぎす ぎす,,,ほとと 不如帰 ホと
82,オモイワビ　サテモイノチワ　アルモノヲ,おもいわび　さてもいのちは　あるものを,オモイ,おもい,12,28,オモイ,おもい,オモ イワ イワビ ワビ,おも いわ いわび わび,,,思ひ ひわ
83,ヨノナカヨ　ミチコソナケレ　オモイイル,よのなかよ　みちこそなけれ　おもひいる,ヨノナカヨ,よのなかよ,12,28,,,ヨノ ナカ ナカヨ カヨ,よの なか なかよ かよ,ミチ ミチコ,みち みちこ,
84,ナガラエバ　マタコノゴロヤ　シノバレン,ながらへば　またこのごろや　しのばれむ,ナガラ,ながら,12,28,ナガラ,ながら,ナガ ラエ ラエバ エバ,なが らへ らへば へば,,,長ら えば
85,ヨモスガラ　モノオモウコロワ　アケヤラデ,よもすがら　ものおもうころは　あけやらで,ヨモ,よも,12,28,ヨモ,よも,スガ スガラ ガラ,すが すがら がら,,,夜も 夜もす 世も 世もす
86,ナゲケトテ　ツキヤワモノヲ　オモワスル,なげけとて　つきやはものを　おもはする,ナゲケ,なげけ,12,28,ナゲケ,なげけ,ナゲ ケト ケトテ トテ,なげ けと けとて とて,,,嘆け 家と
87,ムラサメノ　ツユモマダヒヌ　マキノハニ,むらさめの　つゆもまだひぬ　まきのはに,ム,む,13,28,ム,む,ムラ サメ サメノ メノ,むら さめ さめの めの,,,村雨 村雨の 村さめ
88,ナニワエノ　アシノカリネノ　ヒトヨユエ,なにわえの　あしのかりねの　ひとよゆえ,ナニワエ,なにわえ,12,28,,,ナニ ワエ ワエノ エノ,なに わえ わえの えの,アシ アシノ,あし あしの,
89,タマノオヨ　タエナバタエネ　ナガラエバ,たまのおよ　たえなばたえね　ながらえば,タマ,たま,12,28,タマ,たま,ノオ ノオヨ オヨ,のお のおよ およ,,,玉の 玉の緒 緒よ の緒よ
90,ミセバヤナ　ヲジマノアマノ　ソデダニモ,みせばやな　をじまのあまの　そでだにも,ミセ,みせ,12,28,ミセ,みせ,バヤ バヤナ ヤナ,ばや ばやな やな,,,見せ 見せば 店ば 見せ場
91,キリギリス　ナクヤシモヨノ　サムシロニ,きりぎりす　なくやしもよの　さむしろに,キリ,きり,12,28,キリ,きり,ギリ ギリス リス,ぎり ぎりす りす,,,きりぎ 霧ぎり 霧切 義理
92,ワガソデワ　シホイニミエヌ　オキノイシノ,わがそでは　しおひにみえぬ　おきのいしの,ワガソ,わがそ,12,28,ワガソ,わがそ,ワガ ソデ ソデワ デワ,わが そで そでは では,,,我が 袖は
93,ヨノナカワ　ツネニモガモナ　ナギサコグ,よのなかは　つねにもがもな　なぎさこぐ,ヨノナカハ,よのなかは,12,28,,,ヨノ ナカ ナカワ カワ,よの なか なかは かは,ツネ ツネニ,つね つねに,
94,ミヨシノノ　ヤマノアキカゼ　サヨフケテ,みよしのの　やまのあきかぜ　さよふけて,ミヨ,みよ,12,28,ミヨ,みよ,シノ シノノ ノノ,しの しのの のの,,,み吉 み吉野 野の 吉野の
95,オオケナク　ウキヨノタミニ　オオウカナ,おおけなく　うきよのたみに　おほふかな,オオケ,おおけ,12,28,オオケ,おおけ,オオ ケナ ケナク ナク,おお けな けなく なく,,,おほ 王家
96,ハナサソウ　アラシノニワノ　ユキナラデ,はなさそふ　あらしのにはの　ゆきならで,ハナサ,はなさ,12,28,ハナサ,はなさ,ハナ サソ サソウ ソウ,はな さそ さそふ そふ,,,花さ 誘う
97,コヌヒトヲ　マツホノウラノ　ユフナギニ,こぬひとを　まつほのうらの　ゆふなぎに,コヌ,こぬ,12,28,コヌ,こぬ,ヒト ヒトヲ トヲ,ひと ひとを とを,,,来ぬ 来ぬ人 人を ぬ人を
98,カゼソヨグ　ナラノオガワノ　ユウグレワ,かぜそよぐ　ならのおがわの　ゆうぐれは,カゼソ,かぜそ,12,28,カゼソ,かぜそ,カゼ ソヨ ソヨグ ヨグ,かぜ そよ そよぐ よぐ,,,風そ 戦ぐ
99,ヒトモオシ　ヒトモウラメシ　アヂキナク,ひともをし　ひともうらめし　あぢきなく,ヒトモ,ひとも,12,28,ヒトモ,ひとも,ヒト モオ モオシ オシ,ひと もを もをし をし,,,人も 惜し
100,モモシキヤ　フルキノキバノ　シノブニモ,ももしきや　ふるきのきばの　しのぶにも,モモ,もも,12,28,モモ,もも,シキ シキヤ キヤ,しき しきや きや,,,百敷 百敷や 敷や 桃しき
