札番号,元のカタカナ,元のひらがな,カタカナ決まり字,ひらがな決まり字,単語数,総文字数,カタカナ決まり字パーツ,ひらがな決まり字パーツ,カタカナパーツ(1句目),ひらがなパーツ(1句目),カタカナパーツ(2句目),ひらがなパーツ(2句目),漢字1句目・補填パーツ
42,チギリキナ　カタミニソデヲ　シボリツツ,ちぎりきな　かたみにそでを　しぼりつつ,チギリキ,ちぎりき,14,32,,,チギ リキ リキナ キナ,ちぎ りき りきな きな,カタ カタミ,かた かたみ,契り り契
43,アイミテノ　ノチノココロニ　クラブレバ,あひみての　のちのこころに　くらぶれば,アイ,あい,13,31,アイ,あい,ミテ ミテノ テノ,あひ みて みての ての,,,逢ひ 逢ひ見 見ての 逢ひ逢
44,オオコトノ　タエテシナクハ　ナカナカニ,あふことの　たえてしなくは　なかなかに,オオコ,おおこ,13,32,オオコ,おおこ,オオ コト コトノ トノ,あふ こと ことの との,,,逢ふ 逢ふこ 逢ふ逢
45,アワレトモ　イウベキヒトワ　オモオエデ,あはれとも　いふべきひとは　おもおえで,アワレ,あわれ,13,32,アワレ,あわれ,アワ レト レトモ トモ,あは れと れとも とも,,,あはと はとも はと
46,ユラノトヲ　ワタルフナビト　カヂヲタエ,ゆらのとを　わたるふなびと　かぢをたえ,ユラ,ゆら,13,31,ユラ,ゆら,ノト ノトヲ トヲ,のと のとを とを,,,由良 由良の 門を の門を 由良由
47,ヤエムグラ　シゲレルヤドノ　サビシキニ,やへむぐら　しげれるやどの　さびしきに,ヤエ,やえ,13,31,ヤエ,やえ,ムグ ムグラ グラ,やへ むぐ むぐら ぐら,,,八重 八重む 八重八 重八重
48,カゼヲイタミ　イワウツナミノ　オノレノミ,かぜをいたみ　いはうつなみの　おのれのみ,カゼヲ,かぜを,13,32,カゼヲ,かぜを,カゼ ヲイ イタミ タミ,かぜ をい いたみ たみ,,,風を 風をい 風を風
49,ミカキモリ　エジノタクヒノ　ヨルハモエ,みかきもり　ゑじのたくひの　よるはもえ,ミカキ,みかき,13,31,ミカキ,みかき,ミカ キモ キモリ モリ,みか きも きもり もり,,,御垣 御垣守 垣守
50,キミガタメ　オシカラザリシ　イノチサヘ,きみがため　をしからざりし　いのちさへ,キミガタメヲ,きみがためを,14,32,,,キミ ガタ ガタメ タメ,きみ がた がため ため,オシ オシカ,をし をしか,君が が君
51,カクトダニ　エヤワイブキノ　サシモグサ,かくとだに　えやはいぶきの　さしもぐさ,カク,かく,13,32,カク,かく,トダ トダニ ダニ,とだ とだに だに,,,かくと くとだ だにと にとだ くと
52,アケヌレバ　クルルモノトハ　シリナガラ,あけぬれば　くるるものとは　しりながら,アケ,あけ,13,32,アケ,あけ,ヌレ ヌレバ レバ,ぬれ ぬれば れば,,,明け 明けぬ 明け明 け明け けぬれ
53,ナゲキツツ　ヒトリネルヨノ　アクルマワ,なげきつつ　ひとりねるよの　あくるまは,ナゲキ,なげき,13,32,ナゲキ,なげき,ナゲ キツ キツツ ツツ,なげ きつ きつつ つつ,,,嘆き 嘆きつ 嘆き嘆
54,ワスレジノ　ユクスエマデハ　カタケレバ,わすれじの　ゆくすえまでは　かたければ,ワスレ,わすれ,13,32,ワスレ,わすれ,ワス レジ レジノ ジノ,わす れじ れじの じの,,,忘れ 忘れじ 忘れ忘
55,タキノオトワ　タエテヒサシク　ナリヌレド,たきのおとは　たえてひさしく　なりぬれど,タキ,たき,13,31,タキ,たき,ノオ オトワ トワ,のお おとは とは,,,滝の 滝の音 音は の音は 滝の滝
56,アラザラン　コノヨノホカノ　オモイデニ,あらざらむ　このよのほかの　おもひでに,アラザ,あらざ,13,32,アラザ,あらざ,アラ ザラ ザラン ラン,あら ざら ざらむ らむ,,,あらら ららむ らら
57,メグリアイテ　ミシヤソレトモ　ワカヌマニ,めぐりあひて　みしやそれとも　わかぬまに,メ,め,14,32,メ,め,メグ リア アイテ イテ,めぐ りあ あひて ひて,,,めぐり 逢ひて めぐめ ぐめぐ
58,アリマヤマ　イナノササハラ　カゼフケバ,ありまやま　いなのささはら　かぜふけば,アリマ,ありま,13,31,アリマ,ありま,アリ マヤ マヤマ ヤマ,あり まや まやま やま,,,有馬 有馬山 馬山
59,ヤスラワデ　ネナマシモノヲ　サヨフケテ,やすらはで　ねなましものを　さよふけて,ヤス,やす,13,32,ヤス,やす,ラワ ラワデ ワデ,らは らはで はで,,,やすら すらは はでら でらは すら
60,オオエヤマ　イクノノミチノ　トオケレバ,おおえやま　いくののみちの　とおければ,オホエ,おおえ,13,31,オホエ,おおえ,オオ エヤ エヤマ ヤマ,おお えや えやま やま,,,大江 大江山 江山
61,イニシエノ　ナラノミヤコノ　ヤエザクラ,いにしへの　ならのみやこの　やへざくら,イニ,いに,13,32,イニ,いに,シエ シエノ エノ,しへ しへの への,,,いにし にしへ へのし のしへ にし
62,ヨヲコメテ　トリノソラネワ　ハカルトモ,よをこめて　とりのそらねは　はかるとも,ヨヲ,よを,13,32,ヨヲ,よを,コメ コメテ メテ,こめ こめて めて,,,夜を 夜をこ 夜を夜 を夜を をこめ
63,イマワタダ　オモイタエナン　トバカリヲ,いまはただ　おもひたえなむ　とばかりを,イマハ,いまは,13,32,イマハ,いまは,イマ ワタ ワタダ タダ,いま はた はただ ただ,,,今は 今はた 今は今
64,アサボラケ　ウヂノカワギリ　タエダエニ,あさぼらけ　うぢのかはぎり　たえだえに,アサボラケウ,あさぼらけう,14,32,,,アサ ボラ ボラケ ラケ,あさ ぼら ぼらけ らけ,ウヂ ウヂノ,うぢ うぢの,朝ぼ ぼ朝
65,ウラミワビ　ホサヌソデダニ　アルモノヲ,うらみわび　ほさぬそでだに　あるものを,ウラ,うら,13,32,ウラ,うら,ミワ ミワビ ワビ,みわ みわび わび,,,恨み 恨みわ 恨み恨 み恨み みわわ
66,モロトモニ　アワレトオモエ　ヤマザクラ,もろともに　あわれとおもへ　やまざくら,モロ,もろ,13,32,モロ,もろ,トモ トモニ モニ,とも ともに もに,,,もろと ろとも もにと にとも ろと
67,ハルノヨノ　ユメバカリナル　タマクラニ,はるのよの　ゆめばかりなる　たまくらに,ハルノ,はるの,13,31,ハルノ,はるの,ハル ノヨ ノヨノ ヨノ,はる のよ のよの よの,,,春の 春の夜 夜の
68,ココロニモ　アラデウキヨニ　ナガラエバ,こころにも　あらでうきよに　ながらへば,ココロニ,こころに,14,32,,,ココ ロニ ロニモ ニモ,ここ ろに ろにも にも,アラ アラデ,あら あらで,心に に心
69,アラシフク　ミムロノヤマノ　モミヂバワ,あらしふく　みむろのやまの　もみぢばは,アラシ,あらし,13,31,アラシ,あらし,アラ シフ シフク フク,あら しふ しふく ふく,,,嵐吹 嵐吹く 吹く
70,サビシサニ　ヤドヲタチイデテ　ナガムレバ,さびしさに　やどをたちいでて　ながむれば,サ,さ,14,31,サ,さ,サビ シサ シサニ サニ,さび しさ しさに さに,,,寂し 寂しさ 寂し寂 し寂し
71,ユウサレバ　カドタノイナバ　オトヅレテ,ゆうされば　かどたのいなば　おとづれて,ユフ,ゆう,13,31,ユフ,ゆう,ユウ サレ サレバ レバ,され されば れば,,,夕さ 夕され 夕さ夕 さ夕さ
72,オトニキク　タカシノハマノ　アダナミワ,おとにきく　たかしのはまの　あだなみは,オト,おと,13,31,オト,おと,ニキ ニキク キク,にき にきく きく,,,音に 音に聞 聞く に聞く 音に音
73,タカサゴノ　オノエノサクラ　サキニケリ,たかさごの　をのへのさくら　さきにけり,タカ,たか,13,31,タカ,たか,サゴ サゴノ ゴノ,さご さごの ごの,,,高砂 高砂の 砂の 高砂高 砂高砂
74,ウカリケル　ヒトヲハツセノ　ヤマオロシヨ,うかりける　ひとをはつせの　やまおろしよ,ウカ,うか,13,32,ウカ,うか,リケ リケル ケル,りけ りける ける,,,憂か 憂かり 憂か憂 か憂か かりけ
75,チギリオキシ　サセモガツユヲ　イノチニテ,ちぎりおきし　させもがつゆを　いのちにて,チギリオ,ちぎりお,14,32,,,チギ リオ オキシ キシ,ちぎ りお おきし きし,サセ サセモ,させ させも,契り り契
76,ワタノハラ　コギイデテミレバ　ヒサカタノ,わたのはら　こぎいでてみれば　ひさかたの,ワタノハラコ,わたのはらこ,13,31,,,ワタ ノハ ノハラ ハラ,わた のは のはら はら,コギ コギイ,こぎ こぎい,わたの
77,セヲハヤミ　イワニセカルル　タキガワノ,せをはやみ　いわにせかるる　たきがわの,セ,せ,14,31,セ,せ,セヲ ハヤ ハヤミ ヤミ,せを はや はやみ やみ,,,瀬を 瀬をは 瀬を瀬 を瀬を
78,アワジシマ　カヨウチドリノ　ナクコエニ,あわじしま　かようちどりの　なくこえに,アハヂ,あわじ,13,31,アハヂ,あわじ,アワ ジシ ジシマ シマ,あわ じし じしま しま,,,淡路 淡路島 路島
79,アキカゼニ　タナビククモノ　タエマヨリ,あきかぜに　たなびくくもの　たえまより,アキカ,あきか,13,31,アキカ,あきか,アキ カゼ カゼニ ゼニ,あき かぜ かぜに ぜに,,,秋風 秋風に 風に
80,ナガカラン　ココロモシラズ　クロカミノ,ながからむ　こころもしらず　くろかみの,ナガカ,ながか,13,32,ナガカ,ながか,ナガ カラ カラン ラン,なが から からむ らむ,,,長か 長から 長か長
81,ホトトギス　ナキツルカタヲ　ナガムレバ,ほととぎす　なきつるかたを　ながむれば,ホ,ほ,14,32,ホ,ほ,ホト トギ トギス ギス,ほと とぎ とぎす ぎす,,,ほとと ほとほ とほと ととぎ
82,オモイワビ　サテモイノチワ　アルモノヲ,おもいわび　さてもいのちは　あるものを,オモイ,おもい,13,32,オモイ,おもい,オモ イワ イワビ ワビ,おも いわ いわび わび,,,思ひ 思ひわ ひわび
83,ヨノナカヨ　ミチコソナケレ　オモイイル,よのなかよ　みちこそなけれ　おもひいる,ヨノナカヨ,よのなかよ,14,32,,,ヨノ ナカ ナカヨ カヨ,よの なか なかよ かよ,ミチ ミチコ,みち みちこ,世の 中よ
84,ナガラエバ　マタコノゴロヤ　シノバレン,ながらへば　またこのごろや　しのばれむ,ナガラ,ながら,13,31,ナガラ,ながら,ナガ ラエ ラエバ エバ,なが らへ らへば へば,,,長ら 長らえ えば
85,ヨモスガラ　モノオモウコロワ　アケヤラデ,よもすがら　ものおもうころは　あけやらで,ヨモ,よも,13,32,ヨモ,よも,スガ スガラ ガラ,すが すがら がら,,,夜も 夜もす 夜も夜 も夜も もすが
86,ナゲケトテ　ツキヤワモノヲ　オモワスル,なげけとて　つきやはものを　おもはする,ナゲケ,なげけ,13,32,ナゲケ,なげけ,ナゲ ケト ケトテ トテ,なげ けと けとて とて,,,嘆け 嘆けと 嘆け嘆
87,ムラサメノ　ツユモマダヒヌ　マキノハニ,むらさめの　つゆもまだひぬ　まきのはに,ム,む,15,32,ム,む,ムラ サメ サメノ メノ,むら さめ さめの めの,,,村雨 村雨の 雨の 村雨村 雨村
88,ナニワエノ　アシノカリネノ　ヒトヨユエ,なにわえの　あしのかりねの　ひとよゆえ,ナニワエ,なにわえ,14,32,,,ナニ ワエ ワエノ エノ,なに わえ わえの えの,アシ アシノ,あし あしの,難波 江の
89,タマノオヨ　タエナバタエネ　ナガラエバ,たまのおよ　たえなばたえね　ながらえば,タマ,たま,13,31,タマ,たま,ノオ ノオヨ オヨ,のお のおよ およ,,,玉の 玉の緒 緒よ の緒よ 玉の玉
90,ミセバヤナ　ヲジマノアマノ　ソデダニモ,みせばやな　をじまのあまの　そでだにも,ミセ,みせ,13,32,ミセ,みせ,バヤ バヤナ ヤナ,ばや ばやな やな,,,見せ 見せば 見せ見 せ見せ せばや
91,キリギリス　ナクヤシモヨノ　サムシロニ,きりぎりす　なくやしもよの　さむしろに,キリ,きり,13,32,キリ,きり,ギリ ギリス リス,ぎり ぎりす りす,,,きりぎ りぎり りすぎ すぎり りぎ
92,ワガソデワ　シホイニミエヌ　オキノイシノ,わがそでは　しおひにみえぬ　おきのいしの,ワガソ,わがそ,13,32,ワガソ,わがそ,ワガ ソデ ソデワ デワ,わが そで そでは では,,,わが袖 袖は が袖は
93,ヨノナカワ　ツネニモガモナ　ナギサコグ,よのなかは　つねにもがもな　なぎさこぐ,ヨノナカハ,よのなかは,14,32,,,ヨノ ナカ ナカワ カワ,よの なか なかは かは,ツネ ツネニ,つね つねに,世の 中は
94,ミヨシノノ　ヤマノアキカゼ　サヨフケテ,みよしのの　やまのあきかぜ　さよふけて,ミヨ,みよ,13,31,ミヨ,みよ,シノ シノノ ノノ,しの しのの のの,,,み吉 み吉野 野の 吉野の み吉み
95,オオケナク　ウキヨノタミニ　オオウカナ,おおけなく　うきよのたみに　おほふかな,オオケ,おおけ,13,32,オオケ,おおけ,オオ ケナ ケナク ナク,おお けな けなく なく,,,おほ おほな ほなく
96,ハナサソウ　アラシノニワノ　ユキナラデ,はなさそふ　あらしのにはの　ゆきならで,ハナサ,はなさ,13,32,ハナサ,はなさ,ハナ サソ サソウ ソウ,はな さそ さそふ そふ,,,花さ 花さそ 花さ花
97,コヌヒトヲ　マツホノウラノ　ユフナギニ,こぬひとを　まつほのうらの　ゆふなぎに,コヌ,こぬ,13,31,コヌ,こぬ,ヒト ヒトヲ トヲ,ひと ひとを とを,,,来ぬ 来ぬ人 人を ぬ人を 来ぬ来
98,カゼソヨグ　ナラノオガワノ　ユウグレワ,かぜそよぐ　ならのおがわの　ゆうぐれは,カゼソ,かぜそ,13,32,カゼソ,かぜそ,カゼ ソヨ ソヨグ ヨグ,かぜ そよ そよぐ よぐ,,,風そ 風そよ 風そ風
99,ヒトモオシ　ヒトモウラメシ　アヂキナク,ひともをし　ひともうらめし　あぢきなく,ヒトモ,ひとも,13,31,ヒトモ,ひとも,ヒト モオ モオシ オシ,ひと もを もをし をし,,,人も 人も惜 惜し
100,モモシキヤ　フルキノキバノ　シノブニモ,ももしきや　ふるきのきばの　しのぶにも,モモ,もも,13,31,モモ,もも,シキ シキヤ キヤ,しき しきや きや,,,百敷 百敷や 敷や 百敷百 敷百敷
