札番号,元の漢字,元のひらがな,調整後単語数,調整後満点スコア,登録単語リスト
27,みかの原　わきて流るる　泉川,みかのはら　わきてながるる　いづみがは,15,37,みかの いづみ いずみ なが みか の原 かの原 のは のはら はら わき わきて るる 流るる てな
28,山里は　冬ぞ寂しさ　まさりける,やまざとは　ふゆぞさびしさ　まさりける,15,35,やまざ 山里 山里は 里は やま ざと ざとは とは 冬ぞ 冬ぞ寂 しさ 寂しさ ふゆ ぞさ びし
29,心あてに　折らばや折らむ　初霜の,こころあてに　をらばやをらむ　はつしもの,15,38,こころあ 心あ 心あて てに あてに ここ ろあ 折ら 折らば らむ 折らむ をら ばや をらむ らばや
30,有明の　つれなく見えし　別れより,ありあけの　つれなくみえし　わかれより,15,36,ありあ 有明 有明の 明の あり あけ あけの けの つれ つれな えし 見えし なく みえ みえし
31,朝ぼらけ　有明の月と　見るまでに,あさぼらけ　ありあけのつきと　みるまでに,15,39,あさぼらけあ 朝ぼ 朝ぼら らけ ぼらけ あさ ぼら 有明 有明の 月と の月と あり あけ のつ つきと
32,山川に　風のかけたる　しがらみは,やまがわに　かぜのかけたる　しがらみは,15,37,やまが しがらみ 山川 山川に 川に やま がわ がわに わに 風の 風のか たる けたる かぜ のか
33,ひさかたの　光のどけき　春の日に,ひさかたの　ひかりのどけき　はるのひに,15,35,ひさ のど 日に ひさか たの かたの かた 光の 光のど けき どけき ひか りの どけ かりの
34,誰をかも　知る人にせむ　高砂の,たれをかも　しるひとにせむ　たかさごの,15,35,たれ にせん せん 誰を 誰をか かも をかも をか 知る 知る人 せむ にせむ しる ひと にせ
35,人はいさ　心も知らず　ふるさとは,ひとはいさ　こころもしらず　ふるさとは,15,38,ひとは 故郷は ふるさと 人は 人はい いさ はいさ ひと はい 心も 心も知 らず 知らず ここ ろも
36,夏の夜は　まだ宵ながら　明けぬるを,なつのよは　まだよひながら　あけぬるを,15,36,なつ 明けぬ よい 夏の 夏の夜 夜は の夜は のよ のよは よは まだ まだ宵 がら ながら よひ
37,白露に　風の吹きしく　秋の野は,しらつゆに　かぜのふきしく　あきののは,15,35,しら 白露 白露に 露に つゆ つゆに ゆに 風の 風の吹 しく きしく かぜ のふ きし ぜのふ
38,忘らるる　身をば思はず　誓ひてし,わすらるる　みをばおもはず　ちかひてし,15,36,わすら 忘ら 忘らる るる らるる わす らる 身を 身をば はず 思はず みを ばお もは もはず
39,浅茅生の　小野の篠原　しのぶれど,あさぢふの　をののしのはら　しのぶれど,15,37,あさぢ あさじ 浅茅 浅茅生 生の 茅生の あさ ぢふ ぢふの ふの 小野 小野の 篠原 の篠原 をの
40,しのぶれど　色に出でにけり　わが恋は,しのぶれど　いろにいでにけり　わがこひは,15,36,しの こいは いで わが恋 しのぶ れど ぶれど ぶれ 色に 色に出 けり にけり いろ にい でに
41,恋すてふ　わが名はまだき　立ちにけり,こひすてふ　わがなはまだき　たちにけり,15,36,こひ すちょう 名は こい 恋す 恋すて てふ すてふ すて わが わが名 だき まだき なは まだ
42,契りきな　かたみに袖を　しぼりつつ,ちぎりきな　かたみにそでを　しぼりつつ,15,38,ちぎりき 形見に しぼり 契り 契りき きな りきな ちぎ りき かた かたみ 袖を に袖を みに そで
43,逢ひ見ての　のちの心に　くらぶれば,あひみての　のちのこころに　くらぶれば,15,36,あひ あい 逢ひ 逢ひ見 ての 見ての みて みての のち のちの 心に の心に のこ ころ ころに
44,逢ふことの　絶えてしなくは　なかなかに,あふことの　たえてしなくは　なかなかに,15,40,あふこ しなく 中々に なかなか おおこ 逢ふ 逢ふこ との ことの あふ こと 絶え 絶えて くは なくは
45,あはれとも　いふべき人は　思おえで,あはれとも　いふべきひとは　おもおえで,15,37,あはれ いう あわれ あは とも れとも れと いふ いふべ 人は き人は べき ひと ひとは ふべき
46,由良の門を　渡る舟人　かぢを絶え,ゆらのとを　わたるふなびと　かぢをたえ,15,35,ゆら 由良 由良の 門を の門を のと のとを とを 渡る 渡る舟 舟人 る舟人 わた るふ なび
47,八重むぐら　しげれる宿の　さびしきに,やへむぐら　しげれるやどの　さびしきに,15,35,やへ さび やえ やえむ 八重 八重む ぐら むぐら むぐ しげ しげれ 宿の る宿の れる やど
48,風をいたみ　岩うつ波の　おのれのみ,かぜをいたみ　いはうつなみの　おのれのみ,15,36,かぜを 風を 風をい たみ いたみ かぜ をい 岩う 岩うつ 波の つ波の いは うつ なみ なみの
49,御垣守　衛士のたく火の　夜は燃え,みかきもり　ゑじのたくひの　よるはもえ,15,35,みかき 御垣 御垣守 垣守 みか きも きもり もり 衛士 衛士の 火の く火の ゑじ のた くひ
50,君がため　惜しからざりし　命さへ,きみがため　をしからざりし　いのちさへ,15,38,きみがためを おし 君が 君がた ため がため きみ がた 惜し 惜しか りし ざりし をし から ざり
51,かくとだに　えやは伊吹の　さしも草,かくとだに　えやはいぶきの　さしもぐさ,15,37,かく えやわ かくと だに とだに とだ えや えやは 吹の 伊吹の はい ぶき ぶきの やはい きの
52,明けぬれば　暮るるものとは　知りながら,あけぬれば　くるるものとは　しりながら,15,35,あけ しり もの とは くるる 明け 明けぬ れば ぬれば ぬれ 暮る 暮るる のとは くる るも
53,嘆きつつ　ひとり寝る夜の　明くる間は,なげきつつ　ひとりねるよの　あくるまは,15,37,なげき 嘆き 嘆きつ つつ きつつ なげ きつ ひと ひとり 夜の る夜の りね るよ るよの とりね
54,忘れじの　ゆく末までは　かたければ,わすれじの　ゆくすゑまでは　かたければ,15,36,わすれ 行く末 すえ 行く 忘れ 忘れじ じの れじの わす れじ ゆく ゆく末 では までは すゑ
55,滝の音は　絶えて久しく　なりぬれど,たきのおとは　たえてひさしく　なりぬれど,15,35,たき 滝の 滝の音 音は の音は のお おとは とは 絶え 絶えて しく 久しく たえ てひ さし
56,あらざらむ　この世のほかの　思ひ出に,あらざらむ　このよのほかの　おもひでに,15,38,あらざ 他の 思い出 おもいで あら らむ ざらむ ざら この この世 かの ほかの よの ほか のよの
57,めぐり逢ひて　見しやそれとも　わかぬ間に,めぐりあひて　みしやそれとも　わかぬまに,15,35,め めぐ めぐり ひて 逢ひて りあ あひて 見し 見しや とも れとも みし やそ れと しやそ
58,有馬山　猪名の笹原　風吹けば,ありまやま　ゐなのささはら　かぜふけば,15,35,ありま 有馬 有馬山 馬山 あり まや まやま やま 猪名 猪名の 笹原 の笹原 ゐな のさ さは
59,やすらはで　寝なましものを　さ夜更けて,やすらはで　ねなましものを　さよふけて,15,37,やす 夜更け らわで やすら はで らはで らは 寝な 寝なま のを ものを ねな まし もの なまし
60,大江山　いく野の道の　遠ければ,おほえやま　いくののみちの　とおければ,15,36,おほえ おおえ 大江 大江山 江山 おほ えや えやま やま いく いく野 道の の道の のの みち
61,いにしへの　奈良の都の　八重桜,いにしへの　ならのみやこの　やへざくら,15,36,いに いにし への しへの しへ 奈良 奈良の 都の の都の なら のみ やこ やこの らのみ この
62,夜をこめて　鳥の空音は　謀るとも,よをこめて　とりのそらねは　はかるとも,15,35,よを よお 夜を 夜をこ めて こめて こめ 鳥の 鳥の空 音は 空音は とり のそ らね らねは
63,今はただ　思ひ絶えなむ　とばかりを,いまはただ　おもひたえなむ　とばかりを,15,37,いまは おもい ばかり 今は 今はた ただ はただ いま はた 思ひ 思ひ絶 なむ えなむ おも ひた
64,朝ぼらけ　宇治の川霧　たえだえに,あさぼらけ　うぢのかはぎり　たえだえに,15,39,あさぼらけう 朝ぼ 朝ぼら らけ ぼらけ あさ ぼら 宇治 宇治の 川霧 の川霧 うぢ のか はぎ はぎり
65,恨みわび　ほさぬ袖だに　あるものを,うらみわび　ほさぬそでだに　あるものを,15,35,うら 干さぬ 袖だ もの 恨み 恨みわ わび みわび みわ ほさ ほさぬ だに 袖だに ぬそ でだ
66,もろともに　あはれと思へ　山桜,もろともに　あはれとおもへ　やまざくら,15,37,もろ あわれ 思え と思え もろと もに ともに とも あは あはれ 思へ と思へ れと おも おもへ
67,春の夜の　夢ばかりなる　手枕に,はるのよの　ゆめばかりなる　たまくらに,15,36,はるの 春の 春の夜 夜の の夜の はる のよ のよの よの 夢ば 夢ばか なる りなる ゆめ ばか
68,心にも　あらで憂き夜に　長らへば,こころにも　あらでうきよに　ながらへば,15,38,こころに 心に 心にも にも ここ ろに ろにも あら あらで 夜に き夜に でう きよ きよに らでう
69,嵐吹く　三室の山の　もみぢ葉は,あらしふく　みむろのやまの　もみぢばは,15,35,あらし 嵐吹 嵐吹く 吹く あら しふ しふく ふく 三室 三室の 山の の山の みむ ろの やま
70,寂しさに　宿を立ち出でて　ながむれば,さびしさに　やどをたちいでて　ながむれば,15,33,さ 眺む 寂し 寂しさ さに しさに さび しさ 宿を 宿を立 でて 出でて やど をた ちい
71,夕されば　門田の稲葉　訪れて,ゆふされば　かどたのいなば　おとづれて,15,35,ゆふ ゆう 夕さ 夕され れば されば され 門田 門田の 稲葉 の稲葉 かど たの いな いなば
72,音に聞く　高師の浜の　あだ波は,おとにきく　たかしのはまの　あだなみは,15,35,おと 音に 音に聞 聞く に聞く にき にきく きく 高師 高師の 浜の の浜の たか しの はま
73,高砂の　尾の上の桜　咲きにけり,たかさごの　をのへのさくら　さきにけり,15,35,たか 高砂 高砂の 砂の さご さごの ごの 尾の 尾の上 の桜 上の桜 をの への さく さくら
74,憂かりける　人を初瀬の　山おろしよ,うかりける　ひとをはつせの　やまおろしよ,15,36,うか 憂か 憂かり ける りける りけ 人を 人を初 瀬の 初瀬の ひと をは つせ つせの とをは
75,契りおきし　させもが露を　命にて,ちぎりおきし　させもがつゆを　いのちにて,15,38,ちぎりお 契り 契りお きし おきし ちぎ りお させ させも 露を が露を もが つゆ つゆを せもが
76,わたの原　漕ぎ出でて見れば　ひさかたの,わたのはら　こぎいでてみれば　ひさかたの,15,39,わたのはらこ わた わたの の原 たの原 のは のはら はら 漕ぎ 漕ぎ出 れば 見れば こぎ いで てみ
77,瀬をはやみ　岩にせかるる　滝川の,せをはやみ　いはにせかるる　たきがはの,15,34,せ 瀬を 瀬をは やみ はやみ せを はや 岩に 岩にせ るる かるる いは にせ かる はにせ
78,淡路島　通ふ千鳥の　鳴く声に,あはぢしま　かよふちどりの　なくこゑに,15,36,あはぢ あわじ 淡路 淡路島 路島 あは ぢし ぢしま しま 通ふ 通ふ千 鳥の 千鳥の かよ ふち
79,秋風に　たなびく雲の　絶え間より,あきかぜに　たなびくくもの　たえまより,15,36,あきか 秋風 秋風に 風に あき かぜ かぜに ぜに たな たなび 雲の く雲の びく くも くもの
80,長からむ　心も知らず　黒髪の,ながからむ　こころもしらず　くろかみの,15,36,ながか 長か 長から らむ からむ なが から 心も 心も知 らず 知らず ここ ろも しら しらず
81,ほととぎす　鳴きつる方を　ながむれば,ほととぎす　なきつるかたを　ながむれば,15,34,ほ 眺む ほと ほとと ぎす とぎす とぎ 鳴き 鳴きつ 方を る方を なき つる かた かたを
82,思ひわび　さても命は　あるものを,おもひわび　さてもいのちは　あるものを,15,37,おもひ おもい 思ひ 思ひわ わび ひわび おも ひわ さて さても 命は も命は もい のち のちは
83,世の中よ　道こそなけれ　思ひ入る,よのなかよ　みちこそなけれ　おもひいる,15,38,よのなかよ 世の 世の中 中よ の中よ よの なか なかよ かよ 道こ 道こそ けれ なけれ みち こそ
84,長らへば　またこのごろや　しのばれむ,ながらへば　またこのごろや　しのばれむ,15,38,ながら 長らえ この頃 偲ばれ 長ら 長らへ へば らへば なが らへ また またこ ろや ごろや この
85,夜もすがら　物思ふころは　明けやらで,よもすがら　ものおもふころは　あけやらで,15,35,よも おもう 思う 夜も 夜もす がら すがら すが 物思 物思ふ ろは ころは もの おも ふこ
86,嘆けとて　月やは物を　思はする,なげけとて　つきやはものを　おもはする,15,36,なげけ 嘆け 嘆けと とて けとて なげ けと 月や 月やは 物を は物を つき やは もの ものを
87,村雨の　露もまだ干ぬ　真木の葉に,むらさめの　つゆもまだひぬ　まきのはに,15,33,む 村雨 村雨の 雨の むら さめ さめの めの 露も 露もま 干ぬ だ干ぬ つゆ もま だひ
88,難波江の　蘆のかりねの　ひとよゆゑ,なにはえの　あしのかりねの　ひとよゆゑ,15,37,なにはえ 難波 難波江 江の 波江の なに はえ はえの えの 蘆の 蘆のか ねの りねの あし のか
89,玉の緒よ　絶えなば絶えね　ながらえば,たまのをよ　たえなばたえね　ながらえば,15,37,たま 絶えねば 玉の 玉の緒 緒よ の緒よ のを のをよ をよ 絶え 絶えな えね 絶えね たえ なば
90,見せばやな　雄島の海人の　袖だにも,みせばやな　をじまのあまの　そでだにも,15,36,みせ おじま 見せ 見せば やな ばやな ばや 雄島 雄島の 人の 海人の をじ まの あま あまの
91,きりぎりす　鳴くや霜夜の　さむしろに,きりぎりす　なくやしもよの　さむしろに,15,36,きり しろに なくや 霜夜 きりぎ りす ぎりす ぎり 鳴く 鳴くや 夜の 霜夜の なく やし もよ
92,わが袖は　潮干に見えぬ　沖の石の,わがそでは　しほひにみえぬ　おきのいしの,15,36,わがそ わが わが袖 袖は が袖は そで そでは では 潮干 潮干に えぬ 見えぬ しほ ひに みえ
93,世の中は　常にもがもな　渚漕ぐ,よのなかは　つねにもがもな　なぎさこぐ,15,38,よのなかは 世の 世の中 中は の中は よの なか なかは かは 常に 常にも もな がもな つね にも
94,み吉野の　山の秋風　さよ更けて,みよしのの　やまのあきかぜ　さよふけて,15,35,みよ み吉 み吉野 野の 吉野の しの しのの のの 山の 山の秋 秋風 の秋風 やま のあ きか
95,おほけなく　憂き世の民に　おほふかな,おほけなく　うきよのたみに　おほふかな,15,36,おほけ おおう おお おおけ おほ なく けなく けな 憂き 憂き世 民に の民に うき よの たみ
96,花さそふ　嵐の庭の　雪ならで,はなさそふ　あらしのにはの　ゆきならで,15,36,はなさ 花さ 花さそ そふ さそふ はな さそ 嵐の 嵐の庭 庭の の庭の あら しの には にはの
97,来ぬ人を　松帆の浦の　夕なぎに,こぬひとを　まつほのうらの　ゆふなぎに,15,35,こぬ 来ぬ 来ぬ人 人を ぬ人を ひと ひとを とを 松帆 松帆の 浦の の浦の まつ ほの うら
98,風そよぐ　楢の小川の　夕暮は,かぜそよぐ　ならのをがはの　ゆふぐれは,15,36,かぜそ 風そ 風そよ よぐ そよぐ かぜ そよ 楢の 楢の小 川の 小川の なら のを がは がはの
99,人も惜し　人も恨めし　あぢきなく,ひともをし　ひともうらめし　あぢきなく,15,37,ひとも あじき 人も 人も惜 惜し も惜し ひと もを もをし をし 人も恨 めし 恨めし もう らめ
100,百敷や　古き軒端の　しのぶにも,ももしきや　ふるきのきばの　しのぶにも,15,35,もも 百敷 百敷や 敷や しき しきや きや 古き 古き軒 端の 軒端の ふる きの きば きばの
0,難波津に咲くやこの花 冬ごもり今は春べと咲くやこの花,なにわづに　さくやこのはな　ふゆごもり　いまははるべと　さくやこのはな,17,42,なにわづ 難波 難波津 の花 この花 なに わづ わづに づに 冬ご 冬ごも さく やこ のは のはな くやこ はな
