札番号,元のカタカナ,元のひらがな,カタカナ決まり字,ひらがな決まり字,単語数,総文字数,カタカナ決まり字パーツ,ひらがな決まり字パーツ,カタカナパーツ(1句目),ひらがなパーツ(1句目),カタカナパーツ(2句目),ひらがなパーツ(2句目),漢字1句目・同音異義パーツ
16,タチワカレ　イナバノヤマノ　ミネニオウル,たちわかれ　いなばのやまの　みねにおうる,タチ,たち,12,28,タチ,たち,ワカ ワカレ カレ,わか わかれ かれ,,,立ち 立ち別 別れ ち別れ
17,チハヤブル　カミヨモキカズ　タツタガワ,ちはやぶる　かみよもきかず　たつたがわ,チハ,ちは,9,21,チハ,ちは,ヤブ ヤブル ブル,やぶ やぶる ぶる,,,ちはや
18,スミノエノ　キシニヨルナミ　ヨルサエヤ,すみのえの　きしによるなみ　よるさへや,ス,す,13,27,ス,す,スミ ノエ ノエノ エノ,すみ のえ のえの えの,,,住の 住の江 江の
19,ナニワガタ　ミジカキアシノ　フシノマモ,なにはがた　みじかきあしの　ふしのまも,ナニハガ,なにはが,12,28,,,ナニ ワガ ワガタ ガタ,なに はが はがた がた,ミジ ミジカ,みじ みじか,
20,ワビヌレバ　イマハタオナジ　ナニワナル,わびぬれば　いまはたおなじ　なにわなる,ワビ,わび,9,21,ワビ,わび,ヌレ ヌレバ レバ,ぬれ ぬれば れば,,,わびぬ
21,イマコント　イイシバカリニ　ナガツキノ,いまこむと　いいしばかりに　ながつきの,イマコ,いまこ,12,28,イマコ,いまこ,イマ コン コント ント,いま こむ こむと むと,,,今来 来む
22,フクカラニ　アキノクサキノ　シオルレバ,ふくからに　あきのくさきの　しをるれば,フ,ふ,12,25,フ,ふ,フク カラ カラニ ラニ,ふく から からに らに,,,吹く 吹くか
23,ツキミレバ　チヂニモノコソ　カナシケレ,つきみれば　ちぢにものこそ　かなしけれ,ツキ,つき,12,28,ツキ,つき,ミレ ミレバ レバ,みれ みれば れば,,,月見 月見れ 見れば 見れ
24,コノタビハ　ヌサモトリアヘズ　タムケヤマ,このたびは　ぬさもとりあへず　たむけやま,コノ,この,9,21,コノ,この,タビ タビハ ビハ,たび たびは びは,,,このた
25,ナニシオワバ　オオサカヤマノ　サネカヅラ,なにしおはば　あふさかやまの　さねかづら,ナニシ,なにし,12,28,ナニシ,なにし,ナニ シオ オワバ ワバ,なに しお おはば はば,,,名に 負は
26,オグラヤマ　ミネノモミヂバ　ココロアラバ,をぐらやま　みねのもみぢば　こころあらば,ヲグ,おぐ,12,27,ヲグ,おぐ,オグ ラヤ ラヤマ ヤマ,をぐ らや らやま やま,,,小倉 小倉山
27,ミカノハラ　ワキテナガルル　イヅミガワ,みかのはら　わきてながるる　いづみがは,ミカノ,みかの,12,28,ミカノ,みかの,ミカ ノハ ノハラ ハラ,みか のは のはら はら,,,の原 かの
28,ヤマザトハ　フユゾサビシサ　マサリケル,やまざとは　ふゆぞさびしさ　まさりける,ヤマザ,やまざ,12,28,ヤマザ,やまざ,ヤマ ザト ザトハ トハ,やま ざと ざとは とは,,,山里 里は
29,ココロアテニ　オラバヤヲラム　ハツシモノ,こころあてに　をらばやをらむ　はつしもの,ココロア,こころあ,12,28,,,ココ ロア アテニ テニ,ここ ろあ あてに てに,オラ オラバ,をら をらば,
30,アリアケノ　ツレナクミエシ　ワカレヨリ,ありあけの　つれなくみえし　わかれより,アリア,ありあ,12,28,アリア,ありあ,アリ アケ アケノ ケノ,あり あけ あけの けの,,,有明 明の
31,アサボラケ　アリアケノツキト　ミルマデニ,あさぼらけ　ありあけのつきと　みるまでに,アサボラケア,あさぼらけあ,12,28,,,アサ ボラ ボラケ ラケ,あさ ぼら ぼらけ らけ,アリ アリア,あり ありあ,
32,ヤマガワニ　カゼノカケタル　シガラミハ,やまがわに　かぜのかけたる　しがらみは,ヤマガ,やまが,12,28,ヤマガ,やまが,ヤマ ガワ ガワニ ワニ,やま がわ がわに わに,,,山川 川に
33,ヒサカタノ　ヒカリノドケキ　ハルノヒニ,ひさかたの　ひかりのどけき　はるのひに,ヒサ,ひさ,9,21,ヒサ,ひさ,カタ カタノ タノ,かた かたの たの,,,ひさか
34,タレヲカモ　シルヒトニセン　タカサゴノ,たれをかも　しるひとにせむ　たかさごの,タレ,たれ,10,23,タレ,たれ,ヲカ ヲカモ カモ,をか をかも かも,,,誰を 誰をか
35,ヒトワイサ　ココロモシラズ　フルサトハ,ひとはいさ　こころもしらず　ふるさとは,ヒトハ,ひとは,11,26,ヒトハ,ひとは,ヒト ワイ ワイサ イサ,ひと はい はいさ いさ,,,人は
36,ナツノヨワ　マダヨイナガラ　アケヌルヲ,なつのよは　まだよひながら　あけぬるを,ナツ,なつ,12,28,ナツ,なつ,ノヨ ノヨワ ヨワ,のよ のよは よは,,,夏の 夏の夜 夜は の夜は
37,シラツユニ　カゼノフキシク　アキノノハ,しらつゆに　かぜのふきしく　あきののは,シラ,しら,11,25,シラ,しら,ツユ ツユニ ユニ,つゆ つゆに ゆに,,,白露 白露に 露に
38,ワスラルル　ミヲバオモハズ　チカイテシ,わすらるる　みをばおもはず　ちかひてし,ワスラ,わすら,11,26,ワスラ,わすら,ワス ラル ラルル ルル,わす らる らるる るる,,,忘ら
39,アサジフノ　ヲノノシノハラ　シノブレド,あさぢふの　をののしのはら　しのぶれど,アサヂ,あさじ,12,28,アサヂ,あさじ,アサ ジフ ジフノ フノ,あさ ぢふ ぢふの ふの,,,浅茅 生の
40,シノブレド　イロニイデニケリ　ワガコイワ,しのぶれど　いろにいでにけり　わがこひは,シノ,しの,9,21,シノ,しの,ブレ ブレド レド,ぶれ ぶれど れど,,,しのぶ
41,コイスチョウ　ワガナワマダキ　タチニケリ,こひすてふ　わがなはまだき　たちにけり,コヒ,こい,12,27,コヒ,こい,コイ スチ チョウ ョウ,こひ すて すてふ てふ,,,恋す 恋すて
42,チギリキナ　カタミニソデヲ　シボリツツ,ちぎりきな　かたみにそでを　しぼりつつ,チギリキ,ちぎりき,12,28,,,チギ リキ リキナ キナ,ちぎ りき りきな きな,カタ カタミ,かた かたみ,
43,アイミテノ　ノチノココロニ　クラブレバ,あひみての　のちのこころに　くらぶれば,アイ,あい,12,28,アイ,あい,ミテ ミテノ テノ,あひ みて みての ての,,,逢ひ 逢ひ見 見ての
44,オオコトノ　タエテシナクハ　ナカナカニ,あふことの　たえてしなくは　なかなかに,オオコ,おおこ,11,26,オオコ,おおこ,オオ コト コトノ トノ,あふ こと ことの との,,,逢ふ
45,アワレトモ　イウベキヒトワ　オモオエデ,あはれとも　いふべきひとは　おもおえで,アワレ,あわれ,10,24,アワレ,あわれ,アワ レト レトモ トモ,あは れと れとも とも,,,
46,ユラノトヲ　ワタルフナビト　カヂヲタエ,ゆらのとを　わたるふなびと　かぢをたえ,ユラ,ゆら,12,28,ユラ,ゆら,ノト ノトヲ トヲ,のと のとを とを,,,由良 由良の 門を の門を
47,ヤエムグラ　シゲレルヤドノ　サビシキニ,やへむぐら　しげれるやどの　さびしきに,ヤエ,やえ,11,25,ヤエ,やえ,ムグ ムグラ グラ,やへ むぐ むぐら ぐら,,,八重 八重む
48,カゼヲイタミ　イワウツナミノ　オノレノミ,かぜをいたみ　いはうつなみの　おのれのみ,カゼヲ,かぜを,12,28,カゼヲ,かぜを,カゼ ヲイ イタミ タミ,かぜ をい いたみ たみ,,,風を いた
49,ミカキモリ　エジノタクヒノ　ヨルハモエ,みかきもり　ゑじのたくひの　よるはもえ,ミカキ,みかき,12,28,ミカキ,みかき,ミカ キモ キモリ モリ,みか きも きもり もり,,,御垣 垣守
50,キミガタメ　オシカラザリシ　イノチサヘ,きみがため　をしからざりし　いのちさへ,キミガタメヲ,きみがためを,12,28,,,キミ ガタ ガタメ タメ,きみ がた がため ため,オシ オシカ,をし をしか,
51,カクトダニ　エヤワイブキノ　サシモグサ,かくとだに　えやはいぶきの　さしもぐさ,カク,かく,9,21,カク,かく,トダ トダニ ダニ,とだ とだに だに,,,かくと
52,アケヌレバ　クルルモノトハ　シリナガラ,あけぬれば　くるるものとは　しりながら,アケ,あけ,10,23,アケ,あけ,ヌレ ヌレバ レバ,ぬれ ぬれば れば,,,明け 明けぬ
53,ナゲキツツ　ヒトリネルヨノ　アクルマワ,なげきつつ　ひとりねるよの　あくるまは,ナゲキ,なげき,11,26,ナゲキ,なげき,ナゲ キツ キツツ ツツ,なげ きつ きつつ つつ,,,嘆き
54,ワスレジノ　ユクスエマデハ　カタケレバ,わすれじの　ゆくすえまでは　かたければ,ワスレ,わすれ,11,26,ワスレ,わすれ,ワス レジ レジノ ジノ,わす れじ れじの じの,,,忘れ
55,タキノオトワ　タエテヒサシク　ナリヌレド,たきのおとは　たえてひさしく　なりぬれど,タキ,たき,12,28,タキ,たき,ノオ オトワ トワ,のお おとは とは,,,滝の 滝の音 音は の音は
56,アラザラン　コノヨノホカノ　オモイデニ,あらざらむ　このよのほかの　おもひでに,アラザ,あらざ,10,24,アラザ,あらざ,アラ ザラ ザラン ラン,あら ざら ざらむ らむ,,,
57,メグリアイテ　ミシヤソレトモ　ワカヌマニ,めぐりあひて　みしやそれとも　わかぬまに,メ,め,13,28,メ,め,メグ リア アイテ イテ,めぐ りあ あひて ひて,,,めぐり 逢ひて 逢ひ
58,アリマヤマ　イナノササハラ　カゼフケバ,ありまやま　いなのささはら　かぜふけば,アリマ,ありま,12,28,アリマ,ありま,アリ マヤ マヤマ ヤマ,あり まや まやま やま,,,有馬 馬山
59,ヤスラワデ　ネナマシモノヲ　サヨフケテ,やすらはで　ねなましものを　さよふけて,ヤス,やす,9,21,ヤス,やす,ラワ ラワデ ワデ,らは らはで はで,,,やすら
60,オオエヤマ　イクノノミチノ　トオケレバ,おおえやま　いくののみちの　とおければ,オホエ,おおえ,12,28,オホエ,おおえ,オオ エヤ エヤマ ヤマ,おお えや えやま やま,,,大江 江山
61,イニシエノ　ナラノミヤコノ　ヤエザクラ,いにしへの　ならのみやこの　やへざくら,イニ,いに,9,21,イニ,いに,シエ シエノ エノ,しへ しへの への,,,いにし
62,ヨヲコメテ　トリノソラネワ　ハカルトモ,よをこめて　とりのそらねは　はかるとも,ヨヲ,よを,10,23,ヨヲ,よを,コメ コメテ メテ,こめ こめて めて,,,夜を 夜をこ
63,イマワタダ　オモイタエナン　トバカリヲ,いまはただ　おもひたえなむ　とばかりを,イマハ,いまは,11,26,イマハ,いまは,イマ ワタ ワタダ タダ,いま はた はただ ただ,,,今は
64,アサボラケ　ウヂノカワギリ　タエダエニ,あさぼらけ　うぢのかはぎり　たえだえに,アサボラケウ,あさぼらけう,12,28,,,アサ ボラ ボラケ ラケ,あさ ぼら ぼらけ らけ,ウヂ ウヂノ,うぢ うぢの,
65,ウラミワビ　ホサヌソデダニ　アルモノヲ,うらみわび　ほさぬそでだに　あるものを,ウラ,うら,10,23,ウラ,うら,ミワ ミワビ ワビ,みわ みわび わび,,,恨み 恨みわ
66,モロトモニ　アワレトオモエ　ヤマザクラ,もろともに　あわれとおもへ　やまざくら,モロ,もろ,9,21,モロ,もろ,トモ トモニ モニ,とも ともに もに,,,もろと
67,ハルノヨノ　ユメバカリナル　タマクラニ,はるのよの　ゆめばかりなる　たまくらに,ハルノ,はるの,12,28,ハルノ,はるの,ハル ノヨ ノヨノ ヨノ,はる のよ のよの よの,,,春の 夜の
68,ココロニモ　アラデウキヨニ　ナガラエバ,こころにも　あらでうきよに　ながらへば,ココロニ,こころに,12,28,,,ココ ロニ ロニモ ニモ,ここ ろに ろにも にも,アラ アラデ,あら あらで,
69,アラシフク　ミムロノヤマノ　モミヂバワ,あらしふく　みむろのやまの　もみぢばは,アラシ,あらし,12,28,アラシ,あらし,アラ シフ シフク フク,あら しふ しふく ふく,,,嵐吹 吹く
70,サビシサニ　ヤドヲタチイデテ　ナガムレバ,さびしさに　やどをたちいでて　ながむれば,サ,さ,12,25,サ,さ,サビ シサ シサニ サニ,さび しさ しさに さに,,,寂し 寂しさ
71,ユウサレバ　カドタノイナバ　オトヅレテ,ゆうされば　かどたのいなば　おとづれて,ユフ,ゆう,11,25,ユフ,ゆう,ユウ サレ サレバ レバ,され されば れば,,,夕さ 夕され
72,オトニキク　タカシノハマノ　アダナミワ,おとにきく　たかしのはまの　あだなみは,オト,おと,12,28,オト,おと,ニキ ニキク キク,にき にきく きく,,,音に 音に聞 聞く に聞く
73,タカサゴノ　オノエノサクラ　サキニケリ,たかさごの　をのへのさくら　さきにけり,タカ,たか,11,25,タカ,たか,サゴ サゴノ ゴノ,さご さごの ごの,,,高砂 高砂の 砂の
74,ウカリケル　ヒトヲハツセノ　ヤマオロシヨ,うかりける　ひとをはつせの　やまおろしよ,ウカ,うか,10,23,ウカ,うか,リケ リケル ケル,りけ りける ける,,,憂か 憂かり
75,チギリオキシ　サセモガツユヲ　イノチニテ,ちぎりおきし　させもがつゆを　いのちにて,チギリオ,ちぎりお,12,28,,,チギ リオ オキシ キシ,ちぎ りお おきし きし,サセ サセモ,させ させも,
76,ワタノハラ　コギイデテミレバ　ヒサカタノ,わたのはら　こぎいでてみれば　ひさかたの,ワタノハラコ,わたのはらこ,12,28,,,ワタ ノハ ノハラ ハラ,わた のは のはら はら,コギ コギイ,こぎ こぎい,
77,セヲハヤミ　イワニセカルル　タキガワノ,せをはやみ　いわにせかるる　たきがわの,セ,せ,12,25,セ,せ,セヲ ハヤ ハヤミ ヤミ,せを はや はやみ やみ,,,瀬を 瀬をは
78,アワジシマ　カヨウチドリノ　ナクコエニ,あわじしま　かようちどりの　なくこえに,アハヂ,あわじ,12,28,アハヂ,あわじ,アワ ジシ ジシマ シマ,あわ じし じしま しま,,,淡路 路島
79,アキカゼニ　タナビククモノ　タエマヨリ,あきかぜに　たなびくくもの　たえまより,アキカ,あきか,12,28,アキカ,あきか,アキ カゼ カゼニ ゼニ,あき かぜ かぜに ぜに,,,秋風 風に
80,ナガカラン　ココロモシラズ　クロカミノ,ながからむ　こころもしらず　くろかみの,ナガカ,ながか,11,26,ナガカ,ながか,ナガ カラ カラン ラン,なが から からむ らむ,,,長か
81,ホトトギス　ナキツルカタヲ　ナガムレバ,ほととぎす　なきつるかたを　ながむれば,ホ,ほ,11,23,ホ,ほ,ホト トギ トギス ギス,ほと とぎ とぎす ぎす,,,ほとと
82,オモイワビ　サテモイノチワ　アルモノヲ,おもいわび　さてもいのちは　あるものを,オモイ,おもい,12,28,オモイ,おもい,オモ イワ イワビ ワビ,おも いわ いわび わび,,,思ひ ひわ
83,ヨノナカヨ　ミチコソナケレ　オモイイル,よのなかよ　みちこそなけれ　おもひいる,ヨノナカヨ,よのなかよ,12,28,,,ヨノ ナカ ナカヨ カヨ,よの なか なかよ かよ,ミチ ミチコ,みち みちこ,
84,ナガラエバ　マタコノゴロヤ　シノバレン,ながらへば　またこのごろや　しのばれむ,ナガラ,ながら,12,28,ナガラ,ながら,ナガ ラエ ラエバ エバ,なが らへ らへば へば,,,長ら えば
85,ヨモスガラ　モノオモウコロワ　アケヤラデ,よもすがら　ものおもうころは　あけやらで,ヨモ,よも,10,23,ヨモ,よも,スガ スガラ ガラ,すが すがら がら,,,夜も 夜もす
86,ナゲケトテ　ツキヤワモノヲ　オモワスル,なげけとて　つきやはものを　おもはする,ナゲケ,なげけ,11,26,ナゲケ,なげけ,ナゲ ケト ケトテ トテ,なげ けと けとて とて,,,嘆け
87,ムラサメノ　ツユモマダヒヌ　マキノハニ,むらさめの　つゆもまだひぬ　まきのはに,ム,む,13,27,ム,む,ムラ サメ サメノ メノ,むら さめ さめの めの,,,村雨 村雨の 雨の
88,ナニワエノ　アシノカリネノ　ヒトヨユエ,なにわえの　あしのかりねの　ひとよゆえ,ナニワエ,なにわえ,12,28,,,ナニ ワエ ワエノ エノ,なに わえ わえの えの,アシ アシノ,あし あしの,
89,タマノオヨ　タエナバタエネ　ナガラエバ,たまのおよ　たえなばたえね　ながらえば,タマ,たま,12,28,タマ,たま,ノオ ノオヨ オヨ,のお のおよ およ,,,玉の 玉の緒 緒よ の緒よ
90,ミセバヤナ　ヲジマノアマノ　ソデダニモ,みせばやな　をじまのあまの　そでだにも,ミセ,みせ,10,23,ミセ,みせ,バヤ バヤナ ヤナ,ばや ばやな やな,,,見せ 見せば
91,キリギリス　ナクヤシモヨノ　サムシロニ,きりぎりす　なくやしもよの　さむしろに,キリ,きり,9,21,キリ,きり,ギリ ギリス リス,ぎり ぎりす りす,,,きりぎ
92,ワガソデワ　シホイニミエヌ　オキノイシノ,わがそでは　しおひにみえぬ　おきのいしの,ワガソ,わがそ,11,27,ワガソ,わがそ,ワガ ソデ ソデワ デワ,わが そで そでは では,,,わが袖
93,ヨノナカワ　ツネニモガモナ　ナギサコグ,よのなかは　つねにもがもな　なぎさこぐ,ヨノナカハ,よのなかは,12,28,,,ヨノ ナカ ナカワ カワ,よの なか なかは かは,ツネ ツネニ,つね つねに,
94,ミヨシノノ　ヤマノアキカゼ　サヨフケテ,みよしのの　やまのあきかぜ　さよふけて,ミヨ,みよ,12,28,ミヨ,みよ,シノ シノノ ノノ,しの しのの のの,,,み吉 み吉野 野の 吉野の
95,オオケナク　ウキヨノタミニ　オオウカナ,おおけなく　うきよのたみに　おほふかな,オオケ,おおけ,11,26,オオケ,おおけ,オオ ケナ ケナク ナク,おお けな けなく なく,,,おほ
96,ハナサソウ　アラシノニワノ　ユキナラデ,はなさそふ　あらしのにはの　ゆきならで,ハナサ,はなさ,11,26,ハナサ,はなさ,ハナ サソ サソウ ソウ,はな さそ さそふ そふ,,,花さ
97,コヌヒトヲ　マツホノウラノ　ユフナギニ,こぬひとを　まつほのうらの　ゆふなぎに,コヌ,こぬ,12,28,コヌ,こぬ,ヒト ヒトヲ トヲ,ひと ひとを とを,,,来ぬ 来ぬ人 人を ぬ人を
98,カゼソヨグ　ナラノオガワノ　ユウグレワ,かぜそよぐ　ならのおがわの　ゆうぐれは,カゼソ,かぜそ,11,26,カゼソ,かぜそ,カゼ ソヨ ソヨグ ヨグ,かぜ そよ そよぐ よぐ,,,風そ
99,ヒトモオシ　ヒトモウラメシ　アヂキナク,ひともをし　ひともうらめし　あぢきなく,ヒトモ,ひとも,12,28,ヒトモ,ひとも,ヒト モオ モオシ オシ,ひと もを もをし をし,,,人も 惜し
100,モモシキヤ　フルキノキバノ　シノブニモ,ももしきや　ふるきのきばの　しのぶにも,モモ,もも,11,25,モモ,もも,シキ シキヤ キヤ,しき しきや きや,,,百敷 百敷や 敷や
