札番号,元のカタカナ,元のひらがな,カタカナ決まり字,ひらがな決まり字,単語数（制限なし）,総文字数（制限なし）,カタカナ決まり字パーツ,ひらがな決まり字パーツ,カタカナパーツ(1句目),ひらがなパーツ(1句目)
58,アリマヤマ　イナノササハラ　カゼフケバ,ありまやま　いなのささはら　かぜふけば,アリマ,ありま,10,24,アリマ,ありま,アリ マヤ マヤマ ヤマ,あり まや まやま やま
59,ヤスラワデ　ネナマシモノヲ　サヨフケテ,やすらはで　ねなましものを　さよふけて,ヤス,やす,8,18,ヤス,やす,ラワ ラワデ ワデ,らは らはで はで
60,オオエヤマ　イクノノミチノ　トオケレバ,おおえやま　いくののみちの　とおければ,オホエ,おおえ,10,24,オホエ,おおえ,オオ エヤ エヤマ ヤマ,おお えや えやま やま
61,イニシエノ　ナラノミヤコノ　ヤエザクラ,いにしへの　ならのみやこの　やへざくら,イニ,いに,8,18,イニ,いに,シエ シエノ エノ,しへ しへの への
62,ヨヲコメテ　トリノソラネワ　ハカルトモ,よをこめて　とりのそらねは　はかるとも,ヨヲ,よを,8,18,ヨヲ,よを,コメ コメテ メテ,こめ こめて めて
63,イマワタダ　オモイタエナン　トバカリヲ,いまはただ　おもひたえなむ　とばかりを,イマハ,いまは,10,24,イマハ,いまは,イマ ワタ ワタダ タダ,いま はた はただ ただ
64,アサボラケ　ウヂノカワギリ　タエダエニ,あさぼらけ　うぢのかはぎり　たえだえに,アサボラケウ,あさぼらけう,10,30,アサボラケウ,あさぼらけう,アサ ボラ ボラケ ラケ,あさ ぼら ぼらけ らけ
65,ウラミワビ　ホサヌソデダニ　アルモノヲ,うらみわび　ほさぬそでだに　あるものを,ウラ,うら,8,18,ウラ,うら,ミワ ミワビ ワビ,みわ みわび わび
66,モロトモニ　アワレトオモエ　ヤマザクラ,もろともに　あわれとおもへ　やまざくら,モロ,もろ,8,18,モロ,もろ,トモ トモニ モニ,とも ともに もに
67,ハルノヨノ　ユメバカリナル　タマクラニ,はるのよの　ゆめばかりなる　たまくらに,ハルノ,はるの,10,24,ハルノ,はるの,ハル ノヨ ノヨノ ヨノ,はる のよ のよの よの
68,ココロニモ　アラデウキヨニ　ナガラエバ,こころにも　あらでうきよに　ながらへば,ココロニ,こころに,10,26,ココロニ,こころに,ココ ロニ ロニモ ニモ,ここ ろに ろにも にも
69,アラシフク　ミムロノヤマノ　モミヂバワ,あらしふく　みむろのやまの　もみぢばは,アラシ,あらし,10,24,アラシ,あらし,アラ シフ シフク フク,あら しふ しふく ふく
70,サビシサニ　ヤドヲタチイデテ　ナガムレバ,さびしさに　やどをたちいでて　ながむれば,サ,さ,10,20,サ,さ,サビ シサ シサニ サニ,さび しさ しさに さに
71,ユウサレバ　カドタノイナバ　オトヅレテ,ゆうされば　かどたのいなば　おとづれて,ユフ,ゆう,9,20,ユフ,ゆう,ユウ サレ サレバ レバ,され されば れば
72,オトニキク　タカシノハマノ　アダナミワ,おとにきく　たかしのはまの　あだなみは,オト,おと,8,18,オト,おと,ニキ ニキク キク,にき にきく きく
73,タカサゴノ　オノエノサクラ　サキニケリ,たかさごの　をのへのさくら　さきにけり,タカ,たか,8,18,タカ,たか,サゴ サゴノ ゴノ,さご さごの ごの
74,ウカリケル　ヒトヲハツセノ　ヤマオロシヨ,うかりける　ひとをはつせの　やまおろしよ,ウカ,うか,8,18,ウカ,うか,リケ リケル ケル,りけ りける ける
75,チギリオキシ　サセモガツユヲ　イノチニテ,ちぎりおきし　させもがつゆを　いのちにて,チギリオ,ちぎりお,10,26,チギリオ,ちぎりお,チギ リオ オキシ キシ,ちぎ りお おきし きし
76,ワタノハラ　コギイデテミレバ　ヒサカタノ,わたのはら　こぎいでてみれば　ひさかたの,ワタノハラコ,わたのはらこ,10,30,ワタノハラコ,わたのはらこ,ワタ ノハ ノハラ ハラ,わた のは のはら はら
77,セヲハヤミ　イワニセカルル　タキガワノ,せをはやみ　いわにせかるる　たきがわの,セ,せ,10,20,セ,せ,セヲ ハヤ ハヤミ ヤミ,せを はや はやみ やみ
78,アワジシマ　カヨウチドリノ　ナクコエニ,あわじしま　かようちどりの　なくこえに,アハヂ,あわじ,10,24,アハヂ,あわじ,アワ ジシ ジシマ シマ,あわ じし じしま しま
79,アキカゼニ　タナビククモノ　タエマヨリ,あきかぜに　たなびくくもの　たえまより,アキカ,あきか,10,24,アキカ,あきか,アキ カゼ カゼニ ゼニ,あき かぜ かぜに ぜに
80,ナガカラン　ココロモシラズ　クロカミノ,ながからむ　こころもしらず　くろかみの,ナガカ,ながか,10,24,ナガカ,ながか,ナガ カラ カラン ラン,なが から からむ らむ
81,ホトトギス　ナキツルカタヲ　ナガムレバ,ほととぎす　なきつるかたを　ながむれば,ホ,ほ,10,20,ホ,ほ,ホト トギ トギス ギス,ほと とぎ とぎす ぎす
82,オモイワビ　サテモイノチワ　アルモノヲ,おもいわび　さてもいのちは　あるものを,オモイ,おもい,10,24,オモイ,おもい,オモ イワ イワビ ワビ,おも いわ いわび わび
83,ヨノナカヨ　ミチコソナケレ　オモイイル,よのなかよ　みちこそなけれ　おもひいる,ヨノナカヨ,よのなかよ,10,28,ヨノナカヨ,よのなかよ,ヨノ ナカ ナカヨ カヨ,よの なか なかよ かよ
84,ナガラエバ　マタコノゴロヤ　シノバレン,ながらへば　またこのごろや　しのばれむ,ナガラ,ながら,10,24,ナガラ,ながら,ナガ ラエ ラエバ エバ,なが らへ らへば へば
85,ヨモスガラ　モノオモウコロワ　アケヤラデ,よもすがら　ものおもうころは　あけやらで,ヨモ,よも,8,18,ヨモ,よも,スガ スガラ ガラ,すが すがら がら
86,ナゲケトテ　ツキヤワモノヲ　オモワスル,なげけとて　つきやはものを　おもはする,ナゲケ,なげけ,10,24,ナゲケ,なげけ,ナゲ ケト ケトテ トテ,なげ けと けとて とて
87,ムラサメノ　ツユモマダヒヌ　マキノハニ,むらさめの　つゆもまだひぬ　まきのはに,ム,む,10,20,ム,む,ムラ サメ サメノ メノ,むら さめ さめの めの
88,ナニワエノ　アシノカリネノ　ヒトヨユエ,なにわえの　あしのかりねの　ひとよゆえ,ナニワエ,なにわえ,10,26,ナニワエ,なにわえ,ナニ ワエ ワエノ エノ,なに わえ わえの えの
89,タマノオヨ　タエナバタエネ　ナガラエバ,たまのおよ　たえなばたえね　ながらえば,タマ,たま,8,18,タマ,たま,ノオ ノオヨ オヨ,のお のおよ およ
90,ミセバヤナ　ヲジマノアマノ　ソデダニモ,みせばやな　をじまのあまの　そでだにも,ミセ,みせ,8,18,ミセ,みせ,バヤ バヤナ ヤナ,ばや ばやな やな
91,キリギリス　ナクヤシモヨノ　サムシロニ,きりぎりす　なくやしもよの　さむしろに,キリ,きり,8,18,キリ,きり,ギリ ギリス リス,ぎり ぎりす りす
92,ワガソデワ　シホイニミエヌ　オキノイシノ,わがそでは　しおひにみえぬ　おきのいしの,ワガソ,わがそ,10,24,ワガソ,わがそ,ワガ ソデ ソデワ デワ,わが そで そでは では
93,ヨノナカワ　ツネニモガモナ　ナギサコグ,よのなかは　つねにもがもな　なぎさこぐ,ヨノナカハ,よのなかは,10,28,ヨノナカハ,よのなかは,ヨノ ナカ ナカワ カワ,よの なか なかは かは
94,ミヨシノノ　ヤマノアキカゼ　サヨフケテ,みよしのの　やまのあきかぜ　さよふけて,ミヨ,みよ,8,18,ミヨ,みよ,シノ シノノ ノノ,しの しのの のの
95,オオケナク　ウキヨノタミニ　オオウカナ,おおけなく　うきよのたみに　おほふかな,オオケ,おおけ,10,24,オオケ,おおけ,オオ ケナ ケナク ナク,おお けな けなく なく
96,ハナサソウ　アラシノニワノ　ユキナラデ,はなさそふ　あらしのにはの　ゆきならで,ハナサ,はなさ,10,24,ハナサ,はなさ,ハナ サソ サソウ ソウ,はな さそ さそふ そふ
97,コヌヒトヲ　マツホノウラノ　ユフナギニ,こぬひとを　まつほのうらの　ゆふなぎに,コヌ,こぬ,8,18,コヌ,こぬ,ヒト ヒトヲ トヲ,ひと ひとを とを
98,カゼソヨグ　ナラノオガワノ　ユウグレワ,かぜそよぐ　ならのおがわの　ゆうぐれは,カゼソ,かぜそ,10,24,カゼソ,かぜそ,カゼ ソヨ ソヨグ ヨグ,かぜ そよ そよぐ よぐ
99,ヒトモオシ　ヒトモウラメシ　アヂキナク,ひともをし　ひともうらめし　あぢきなく,ヒトモ,ひとも,10,24,ヒトモ,ひとも,ヒト モオ モオシ オシ,ひと もを もをし をし
100,モモシキヤ　フルキノキバノ　シノブニモ,ももしきや　ふるきのきばの　しのぶにも,モモ,もも,8,18,モモ,もも,シキ シキヤ キヤ,しき しきや きや
