札番号,元のカタカナ,元のひらがな,カタカナ決まり字,ひらがな決まり字,単語数（制限なし）,総文字数（制限なし）,カタカナ決まり字パーツ,ひらがな決まり字パーツ,カタカナパーツ(1句目),ひらがなパーツ(1句目),カタカナパーツ(2句目),ひらがなパーツ(2句目)
44,オオコトノ　タエテシナクハ　ナカナカニ,あふことの　たえてしなくは　なかなかに,オオコ,おおこ,14,34,オオコ,おおこ,オオ コト コトノ トノ,あふ こと ことの との,タエ タエテ,たえ たえて
45,アワレトモ　イウベキヒトワ　オモオエデ,あはれとも　いふべきひとは　おもおえで,アワレ,あわれ,14,34,アワレ,あわれ,アワ レト レトモ トモ,あは れと れとも とも,イウ イウベ,いふ いふべ
46,ユラノトヲ　ワタルフナビト　カヂヲタエ,ゆらのとを　わたるふなびと　かぢをたえ,ユラ,ゆら,12,28,ユラ,ゆら,ノト ノトヲ トヲ,のと のとを とを,ワタ ワタル,わた わたる
47,ヤエムグラ　シゲレルヤドノ　サビシキニ,やへむぐら　しげれるやどの　さびしきに,ヤエ,やえ,13,30,ヤエ,やえ,ムグ ムグラ グラ,やへ むぐ むぐら ぐら,シゲ シゲレ,しげ しげれ
48,カゼヲイタミ　イワウツナミノ　オノレノミ,かぜをいたみ　いはうつなみの　おのれのみ,カゼヲ,かぜを,14,34,カゼヲ,かぜを,カゼ ヲイ イタミ タミ,かぜ をい いたみ たみ,イワ イワウ,いは いはう
49,ミカキモリ　エジノタクヒノ　ヨルハモエ,みかきもり　ゑじのたくひの　よるはもえ,ミカキ,みかき,14,34,ミカキ,みかき,ミカ キモ キモリ モリ,みか きも きもり もり,エジ エジノ,ゑじ ゑじの
50,キミガタメ　オシカラザリシ　イノチサヘ,きみがため　をしからざりし　いのちさへ,キミガタメヲ,きみがためを,14,40,キミガタメヲ,きみがためを,キミ ガタ ガタメ タメ,きみ がた がため ため,オシ オシカ,をし をしか
51,カクトダニ　エヤワイブキノ　サシモグサ,かくとだに　えやはいぶきの　さしもぐさ,カク,かく,12,28,カク,かく,トダ トダニ ダニ,とだ とだに だに,エヤ エヤワ,えや えやは
52,アケヌレバ　クルルモノトハ　シリナガラ,あけぬれば　くるるものとは　しりながら,アケ,あけ,12,28,アケ,あけ,ヌレ ヌレバ レバ,ぬれ ぬれば れば,クル クルル,くる くるる
53,ナゲキツツ　ヒトリネルヨノ　アクルマワ,なげきつつ　ひとりねるよの　あくるまは,ナゲキ,なげき,14,34,ナゲキ,なげき,ナゲ キツ キツツ ツツ,なげ きつ きつつ つつ,ヒト ヒトリ,ひと ひとり
54,ワスレジノ　ユクスエマデハ　カタケレバ,わすれじの　ゆくすえまでは　かたければ,ワスレ,わすれ,14,34,ワスレ,わすれ,ワス レジ レジノ ジノ,わす れじ れじの じの,ユク ユクス,ゆく ゆくす
55,タキノオトワ　タエテヒサシク　ナリヌレド,たきのおとは　たえてひさしく　なりぬれど,タキ,たき,12,28,タキ,たき,ノオ オトワ トワ,のお おとは とは,タエ タエテ,たえ たえて
56,アラザラン　コノヨノホカノ　オモイデニ,あらざらむ　このよのほかの　おもひでに,アラザ,あらざ,14,34,アラザ,あらざ,アラ ザラ ザラン ラン,あら ざら ざらむ らむ,コノ コノヨ,この このよ
57,メグリアイテ　ミシヤソレトモ　ワカヌマニ,めぐりあひて　みしやそれとも　わかぬまに,メ,め,14,30,メ,め,メグ リア アイテ イテ,めぐ りあ あひて ひて,ミシ ミシヤ,みし みしや
58,アリマヤマ　イナノササハラ　カゼフケバ,ありまやま　いなのささはら　かぜふけば,アリマ,ありま,14,34,アリマ,ありま,アリ マヤ マヤマ ヤマ,あり まや まやま やま,イナ イナノ,いな いなの
59,ヤスラワデ　ネナマシモノヲ　サヨフケテ,やすらはで　ねなましものを　さよふけて,ヤス,やす,12,28,ヤス,やす,ラワ ラワデ ワデ,らは らはで はで,ネナ ネナマ,ねな ねなま
60,オオエヤマ　イクノノミチノ　トオケレバ,おおえやま　いくののみちの　とおければ,オホエ,おおえ,14,34,オホエ,おおえ,オオ エヤ エヤマ ヤマ,おお えや えやま やま,イク イクノ,いく いくの
61,イニシエノ　ナラノミヤコノ　ヤエザクラ,いにしへの　ならのみやこの　やへざくら,イニ,いに,12,28,イニ,いに,シエ シエノ エノ,しへ しへの への,ナラ ナラノ,なら ならの
62,ヨヲコメテ　トリノソラネワ　ハカルトモ,よをこめて　とりのそらねは　はかるとも,ヨヲ,よを,12,28,ヨヲ,よを,コメ コメテ メテ,こめ こめて めて,トリ トリノ,とり とりの
63,イマワタダ　オモイタエナン　トバカリヲ,いまはただ　おもひたえなむ　とばかりを,イマハ,いまは,14,34,イマハ,いまは,イマ ワタ ワタダ タダ,いま はた はただ ただ,オモ オモイ,おも おもひ
64,アサボラケ　ウヂノカワギリ　タエダエニ,あさぼらけ　うぢのかはぎり　たえだえに,アサボラケウ,あさぼらけう,14,40,アサボラケウ,あさぼらけう,アサ ボラ ボラケ ラケ,あさ ぼら ぼらけ らけ,ウヂ ウヂノ,うぢ うぢの
65,ウラミワビ　ホサヌソデダニ　アルモノヲ,うらみわび　ほさぬそでだに　あるものを,ウラ,うら,12,28,ウラ,うら,ミワ ミワビ ワビ,みわ みわび わび,ホサ ホサヌ,ほさ ほさぬ
66,モロトモニ　アワレトオモエ　ヤマザクラ,もろともに　あわれとおもへ　やまざくら,モロ,もろ,12,28,モロ,もろ,トモ トモニ モニ,とも ともに もに,アワ アワレ,あわ あわれ
67,ハルノヨノ　ユメバカリナル　タマクラニ,はるのよの　ゆめばかりなる　たまくらに,ハルノ,はるの,14,34,ハルノ,はるの,ハル ノヨ ノヨノ ヨノ,はる のよ のよの よの,ユメ ユメバ,ゆめ ゆめば
68,ココロニモ　アラデウキヨニ　ナガラエバ,こころにも　あらでうきよに　ながらへば,ココロニ,こころに,14,36,ココロニ,こころに,ココ ロニ ロニモ ニモ,ここ ろに ろにも にも,アラ アラデ,あら あらで
69,アラシフク　ミムロノヤマノ　モミヂバワ,あらしふく　みむろのやまの　もみぢばは,アラシ,あらし,14,34,アラシ,あらし,アラ シフ シフク フク,あら しふ しふく ふく,ミム ミムロ,みむ みむろ
70,サビシサニ　ヤドヲタチイデテ　ナガムレバ,さびしさに　やどをたちいでて　ながむれば,サ,さ,14,30,サ,さ,サビ シサ シサニ サニ,さび しさ しさに さに,ヤド ヤドヲ,やど やどを
71,ユウサレバ　カドタノイナバ　オトヅレテ,ゆうされば　かどたのいなば　おとづれて,ユフ,ゆう,13,30,ユフ,ゆう,ユウ サレ サレバ レバ,され されば れば,カド カドタ,かど かどた
72,オトニキク　タカシノハマノ　アダナミワ,おとにきく　たかしのはまの　あだなみは,オト,おと,12,28,オト,おと,ニキ ニキク キク,にき にきく きく,タカ タカシ,たか たかし
73,タカサゴノ　オノエノサクラ　サキニケリ,たかさごの　をのへのさくら　さきにけり,タカ,たか,12,28,タカ,たか,サゴ サゴノ ゴノ,さご さごの ごの,オノ オノエ,をの をのへ
74,ウカリケル　ヒトヲハツセノ　ヤマオロシヨ,うかりける　ひとをはつせの　やまおろしよ,ウカ,うか,12,28,ウカ,うか,リケ リケル ケル,りけ りける ける,ヒト ヒトヲ,ひと ひとを
75,チギリオキシ　サセモガツユヲ　イノチニテ,ちぎりおきし　させもがつゆを　いのちにて,チギリオ,ちぎりお,14,36,チギリオ,ちぎりお,チギ リオ オキシ キシ,ちぎ りお おきし きし,サセ サセモ,させ させも
76,ワタノハラ　コギイデテミレバ　ヒサカタノ,わたのはら　こぎいでてみれば　ひさかたの,ワタノハラコ,わたのはらこ,14,40,ワタノハラコ,わたのはらこ,ワタ ノハ ノハラ ハラ,わた のは のはら はら,コギ コギイ,こぎ こぎい
77,セヲハヤミ　イワニセカルル　タキガワノ,せをはやみ　いわにせかるる　たきがわの,セ,せ,14,30,セ,せ,セヲ ハヤ ハヤミ ヤミ,せを はや はやみ やみ,イワ イワニ,いわ いわに
78,アワジシマ　カヨウチドリノ　ナクコエニ,あわじしま　かようちどりの　なくこえに,アハヂ,あわじ,14,34,アハヂ,あわじ,アワ ジシ ジシマ シマ,あわ じし じしま しま,カヨ カヨウ,かよ かよう
79,アキカゼニ　タナビククモノ　タエマヨリ,あきかぜに　たなびくくもの　たえまより,アキカ,あきか,14,34,アキカ,あきか,アキ カゼ カゼニ ゼニ,あき かぜ かぜに ぜに,タナ タナビ,たな たなび
80,ナガカラン　ココロモシラズ　クロカミノ,ながからむ　こころもしらず　くろかみの,ナガカ,ながか,14,34,ナガカ,ながか,ナガ カラ カラン ラン,なが から からむ らむ,ココ ココロ,ここ こころ
81,ホトトギス　ナキツルカタヲ　ナガムレバ,ほととぎす　なきつるかたを　ながむれば,ホ,ほ,14,30,ホ,ほ,ホト トギ トギス ギス,ほと とぎ とぎす ぎす,ナキ ナキツ,なき なきつ
82,オモイワビ　サテモイノチワ　アルモノヲ,おもいわび　さてもいのちは　あるものを,オモイ,おもい,14,34,オモイ,おもい,オモ イワ イワビ ワビ,おも いわ いわび わび,サテ サテモ,さて さても
83,ヨノナカヨ　ミチコソナケレ　オモイイル,よのなかよ　みちこそなけれ　おもひいる,ヨノナカヨ,よのなかよ,14,38,ヨノナカヨ,よのなかよ,ヨノ ナカ ナカヨ カヨ,よの なか なかよ かよ,ミチ ミチコ,みち みちこ
84,ナガラエバ　マタコノゴロヤ　シノバレン,ながらへば　またこのごろや　しのばれむ,ナガラ,ながら,14,34,ナガラ,ながら,ナガ ラエ ラエバ エバ,なが らへ らへば へば,マタ マタコ,また またこ
85,ヨモスガラ　モノオモウコロワ　アケヤラデ,よもすがら　ものおもうころは　あけやらで,ヨモ,よも,12,28,ヨモ,よも,スガ スガラ ガラ,すが すがら がら,モノ モノオ,もの ものお
86,ナゲケトテ　ツキヤワモノヲ　オモワスル,なげけとて　つきやはものを　おもはする,ナゲケ,なげけ,14,34,ナゲケ,なげけ,ナゲ ケト ケトテ トテ,なげ けと けとて とて,ツキ ツキヤ,つき つきや
87,ムラサメノ　ツユモマダヒヌ　マキノハニ,むらさめの　つゆもまだひぬ　まきのはに,ム,む,14,30,ム,む,ムラ サメ サメノ メノ,むら さめ さめの めの,ツユ ツユモ,つゆ つゆも
88,ナニワエノ　アシノカリネノ　ヒトヨユエ,なにわえの　あしのかりねの　ひとよゆえ,ナニワエ,なにわえ,14,36,ナニワエ,なにわえ,ナニ ワエ ワエノ エノ,なに わえ わえの えの,アシ アシノ,あし あしの
89,タマノオヨ　タエナバタエネ　ナガラエバ,たまのおよ　たえなばたえね　ながらえば,タマ,たま,12,28,タマ,たま,ノオ ノオヨ オヨ,のお のおよ およ,タエ タエナ,たえ たえな
90,ミセバヤナ　ヲジマノアマノ　ソデダニモ,みせばやな　をじまのあまの　そでだにも,ミセ,みせ,12,28,ミセ,みせ,バヤ バヤナ ヤナ,ばや ばやな やな,ヲジ ヲジマ,をじ をじま
91,キリギリス　ナクヤシモヨノ　サムシロニ,きりぎりす　なくやしもよの　さむしろに,キリ,きり,12,28,キリ,きり,ギリ ギリス リス,ぎり ぎりす りす,ナク ナクヤ,なく なくや
92,ワガソデワ　シホイニミエヌ　オキノイシノ,わがそでは　しおひにみえぬ　おきのいしの,ワガソ,わがそ,14,34,ワガソ,わがそ,ワガ ソデ ソデワ デワ,わが そで そでは では,シホ シホイ,しお しおひ
93,ヨノナカワ　ツネニモガモナ　ナギサコグ,よのなかは　つねにもがもな　なぎさこぐ,ヨノナカハ,よのなかは,14,38,ヨノナカハ,よのなかは,ヨノ ナカ ナカワ カワ,よの なか なかは かは,ツネ ツネニ,つね つねに
94,ミヨシノノ　ヤマノアキカゼ　サヨフケテ,みよしのの　やまのあきかぜ　さよふけて,ミヨ,みよ,12,28,ミヨ,みよ,シノ シノノ ノノ,しの しのの のの,ヤマ ヤマノ,やま やまの
95,オオケナク　ウキヨノタミニ　オオウカナ,おおけなく　うきよのたみに　おほふかな,オオケ,おおけ,14,34,オオケ,おおけ,オオ ケナ ケナク ナク,おお けな けなく なく,ウキ ウキヨ,うき うきよ
96,ハナサソウ　アラシノニワノ　ユキナラデ,はなさそふ　あらしのにはの　ゆきならで,ハナサ,はなさ,14,34,ハナサ,はなさ,ハナ サソ サソウ ソウ,はな さそ さそふ そふ,アラ アラシ,あら あらし
97,コヌヒトヲ　マツホノウラノ　ユフナギニ,こぬひとを　まつほのうらの　ゆふなぎに,コヌ,こぬ,12,28,コヌ,こぬ,ヒト ヒトヲ トヲ,ひと ひとを とを,マツ マツホ,まつ まつほ
98,カゼソヨグ　ナラノオガワノ　ユウグレワ,かぜそよぐ　ならのおがわの　ゆうぐれは,カゼソ,かぜそ,14,34,カゼソ,かぜそ,カゼ ソヨ ソヨグ ヨグ,かぜ そよ そよぐ よぐ,ナラ ナラノ,なら ならの
99,ヒトモオシ　ヒトモウラメシ　アヂキナク,ひともをし　ひともうらめし　あぢきなく,ヒトモ,ひとも,10,24,ヒトモ,ひとも,ヒト モオ モオシ オシ,ひと もを もをし をし,,
100,モモシキヤ　フルキノキバノ　シノブニモ,ももしきや　ふるきのきばの　しのぶにも,モモ,もも,12,28,モモ,もも,シキ シキヤ キヤ,しき しきや きや,フル フルキ,ふる ふるき
