札番号,元の漢字,元のひらがな,元の現代語,単語数（制限なし）,総文字数（制限なし）,決まり字,現代語発音（全体）,漢字パーツ(1句目),ひらがなパーツ(1句目),手動追加単語
62,夜をこめて　鳥の空音は　謀るとも,よをこめて　とりのそらねは　はかるとも,よお,11,25,よを,よお,夜を 夜をこ めて こめて,こめ,ヨヲ ヨオ 込めて 世を
63,今はただ　思ひ絶えなむ　とばかりを,いまはただ　おもひたえなむ　とばかりを,,10,25,いまは,,今は 今はた ただ はただ,いま はた,イマは 思い おもい
64,朝ぼらけ　宇治の川霧　たえだえに,あさぼらけ　うぢのかはぎり　たえだえに,,9,25,あさぼらけう,,朝ぼ 朝ぼら らけ ぼらけ,あさ ぼら,宇治 アサボ
65,恨みわび　ほさぬ袖だに　あるものを,うらみわび　ほさぬそでだに　あるものを,,10,25,うら,,恨み 恨みわ わび みわび,みわ,ウラ ほさぬ ウラミ 干さぬ
66,もろともに　あはれと思へ　山桜,もろともに　あはれとおもへ　やまざくら,,10,25,もろ,,もろと もに ともに,とも,モロ トモに 諸共に あわれ 諸共
67,春の夜の　夢ばかりなる　手枕に,はるのよの　ゆめばかりなる　たまくらに,,10,25,はるの,,春の 春の夜 夜の の夜の,はる のよ のよの よの,ハルノ
68,心にも　あらで憂き夜に　長らへば,こころにも　あらでうきよに　ながらへば,,9,25,こころに,,心に 心にも にも,ここ ろに ろにも,ココロに ココロ
69,嵐吹く　三室の山の　もみぢ葉は,あらしふく　みむろのやまの　もみぢばは,,10,25,あらし,,嵐吹 嵐吹く 吹く,あら しふ しふく ふく,アラシ みむろ
70,寂しさに　宿を立ち出でて　ながむれば,さびしさに　やどをたちいでて　ながむれば,,11,25,さ,,寂し 寂しさ さに しさに,さび しさ,サビ 寂しさに 宿を たち
71,夕されば　門田の稲葉　訪れて,ゆふされば　かどたのいなば　おとづれて,ゆう,10,25,ゆふ,ゆう,夕さ 夕され れば されば,され,ユウ 門田の 夕去れば
72,音に聞く　高師の浜の　あだ波は,おとにきく　たかしのはまの　あだなみは,,10,25,おと,,音に 音に聞 聞く に聞く,にき にきく きく,オトに 高師の
73,高砂の　尾の上の桜　咲きにけり,たかさごの　をのへのさくら　さきにけり,,10,25,たか,,高砂 高砂の 砂の,さご さごの ごの,タカ おのえの サゴノ
74,憂かりける　人を初瀬の　山おろしよ,うかりける　ひとをはつせの　やまおろしよ,,11,25,うか,,憂か 憂かり ける りける,りけ,ウカ 人を うかり ケル ヒト
75,契りおきし　させもが露を　命にて,ちぎりおきし　させもがつゆを　いのちにて,,10,25,ちぎりお,,契り 契りお きし おきし,ちぎ りお,チギリ チギ リオ
76,わたの原　漕ぎ出でて見れば　ひさかたの,わたのはら　こぎいでてみれば　ひさかたの,,9,25,わたのはらこ,,わた わたの の原 たの原,のは のはら はら,漕ぎ
77,瀬をはやみ　岩にせかるる　滝川の,せをはやみ　いはにせかるる　たきがはの,,11,25,せ,,瀬を 瀬をは やみ はやみ,せを はや,セ ハヤミ 岩に せかるる
78,淡路島　通ふ千鳥の　鳴く声に,あわじしま　かよふちどりの　なくこゑに,あわじ,10,25,あはぢ,あわじ,淡路 淡路島 路島,あわ じし じしま しま,アワジ
79,秋風に　たなびく雲の　絶え間より,あきかぜに　たなびくくもの　たえまより,,10,25,あきか,,秋風 秋風に 風に,あき かぜ かぜに ぜに,アキカ カゼに
80,長からむ　心も知らず　黒髪の,ながからむ　こころもしらず　くろかみの,,10,25,ながか,,長か 長から らむ からむ,なが から,ナガカ 絡む カラム
81,ほととぎす　鳴きつる方を　ながむれば,ほととぎす　なきつるかたを　ながむれば,,10,25,ほ,,ほと ほとと ぎす とぎす,とぎ,ホト ホトトギス 鳴き 不如帰
82,思ひわび　さても命は　あるものを,おもひわび　さてもいのちは　あるものを,おもい,10,25,おもひ,おもい,思ひ 思ひわ わび ひわび,おも ひわ,オモイ 思い
83,世の中よ　道こそなけれ　思ひ入る,よのなかよ　みちこそなけれ　おもひいる,,10,25,よのなかよ,,世の 世の中 中よ の中よ,よの なか なかよ かよ,道
84,長らえば　またこのごろや　しのばれむ,ながらへば　またこのごろや　しのばれむ,,10,25,ながら,,長ら 長らえ えば らえば,なが らへ らへば へば,ナガラ
85,夜もすがら　物思ふころは　明けやらで,よもすがら　ものおもふころは　あけやらで,,10,25,よも,,夜も 夜もす がら すがら,すが,ヨモ 物思う スガラ 世もす
86,嘆けとて　月やは物を　思はする,なげけとて　つきやはものを　おもはする,,10,25,なげけ,,嘆け 嘆けと とて けとて,なげ けと,ナゲケ 月やわ トテ
87,村雨の　露もまだ干ぬ　真木の葉に,むらさめの　つゆもまだひぬ　まきのはに,,11,25,む,,村雨 村雨の 雨の,むら さめ さめの めの,ム ムラサメ 梅雨も
88,難波江の　蘆のかりねの　ひとよゆゑ,なにわえの　あしのかりねの　ひとよゆゑ,,10,25,なにわえ,,難波 難波江 江の 波江の,なに わえ わえの えの,にわ
89,玉の緒よ　絶えなば絶えね　ながらえば,たまのおよ　たえなばたえね　ながらえば,,10,25,たま,,玉の 玉の緒 緒よ の緒よ,のお のおよ およ,タマ 玉のおよ
90,見せばやな　雄島の海人の　袖だにも,みせばやな　をじまのあまの　そでだにも,,10,25,みせ,,見せ 見せば やな ばやな,ばや,ミセ バヤナ おじま 雄島の
91,きりぎりす　鳴くや霜夜の　さむしろに,きりぎりす　なくやしもよの　さむしろに,,10,25,きり,,きりぎ りす ぎりす,ぎり,キリ 鳴くや ナク ヤシ キリギリ
92,わが袖は　潮干に見えぬ　沖の石の,わがそでは　しほひにみえぬ　おきのいしの,,10,25,わがそ,,わが わが袖 袖は が袖は,そで そでは では,我が ワガソ
93,世の中は　常にもがもな　渚漕ぐ,よのなかは　つねにもがもな　なぎさこぐ,,10,25,よのなかは,,世の 世の中 中は の中は,よの なか なかは かは,世
94,み吉野の　山の秋風　さよ更けて,みよしのの　やまのあきかぜ　さよふけて,,10,25,みよ,,み吉 み吉野 野の 吉野の,しの しのの のの,ミヨ みよしの
95,おほけなく　憂き世の民に　おほふかな,おおけなく　うきよのたみに　おほふかな,おおけ,10,25,おほけ,おおけ,おほ なく けなく,おお けな,オオケ うき世 ナク
96,花さそふ　嵐の庭の　雪ならで,はなさそふ　あらしのにはの　ゆきならで,,10,25,はなさ,,花さ 花さそ そふ さそふ,はな さそ,ハナサ 嵐の にわの
97,来ぬ人を　松帆の浦の　夕なぎに,こぬひとを　まつほのうらの　ゆふなぎに,,11,25,こぬ,,来ぬ 来ぬ人 人を ぬ人を,ひと ひとを とを,コヌ ヒト まつ
98,風そよぐ　楢の小川の　夕暮は,かぜそよぐ　ならのをがはの　ゆふぐれは,,10,25,かぜそ,,風そ 風そよ よぐ そよぐ,かぜ そよ,カゼソ ソヨグ 奈良
99,人も惜し　人も恨めし　あぢきなく,ひともをし　ひともうらめし　あぢきなく,,10,25,ひとも,,人も 人も惜 惜し も惜し,ひと もを もをし をし,ヒトも
100,百敷や　古き軒端の　しのぶにも,ももしきや　ふるきのきばの　しのぶにも,,11,25,もも,,百敷 百敷や 敷や,しき しきや きや,モモ 古きの シキヤ 桃
