札番号,ひらがな本文,ひらがな決まり字,単語数,総文字数,抽出全単語リスト,決まり字パーツ,1句目パーツ,2句目パーツ
32,やまがわに　かぜのかけたる　しがらみは,やまが,5,12,やまが やま がわ がわに わに,やまが,やま がわ がわに わに,
33,ひさかたの　ひかりのどけき　はるのひに,ひさ,4,9,ひさ かた かたの たの,ひさ,かた かたの たの,
34,たれをかも　しるひとにせむ　たかさごの,たれ,4,9,たれ をか をかも かも,たれ,をか をかも かも,
35,ひとはいさ　こころもしらず　ふるさとは,ひとは,5,12,ひとは ひと はい はいさ いさ,ひとは,ひと はい はいさ いさ,
36,なつのよは　まだよひながら　あけぬるを,なつ,4,9,なつ のよ のよは よは,なつ,のよ のよは よは,
37,しらつゆに　かぜのふきしく　あきののは,しら,4,9,しら つゆ つゆに ゆに,しら,つゆ つゆに ゆに,
38,わすらるる　みをばおもはず　ちかひてし,わすら,5,12,わすら わす らる らるる るる,わすら,わす らる らるる るる,
39,あさぢふの　をののしのはら　しのぶれど,あさじ,5,12,あさじ あさ ぢふ ぢふの ふの,あさじ,あさ ぢふ ぢふの ふの,
40,しのぶれど　いろにいでにけり　わがこひは,しの,4,9,しの ぶれ ぶれど れど,しの,ぶれ ぶれど れど,
41,こひすてふ　わがなはまだき　たちにけり,こい,5,11,こい こひ すて すてふ てふ,こい,こひ すて すてふ てふ,
42,ちぎりきな　かたみにそでを　しぼりつつ,ちぎりき,6,14,ちぎ りき りきな きな かた かたみ,,ちぎ りき りきな きな,かた かたみ
43,あひみての　のちのこころに　くらぶれば,あい,5,11,あい あひ みて みての ての,あい,あひ みて みての ての,
44,おおことの　たえてしなくは　なかなかに,おおこ,5,12,おおこ おお こと ことの との,おおこ,おお こと ことの との,
45,あわれとも　いうべきひとは　おもおえで,あはれ,5,12,あはれ あわ れと れとも とも,あはれ,あわ れと れとも とも,
46,ゆらのとを　わたるふなびと　かぢをたえ,ゆら,4,9,ゆら のと のとを とを,ゆら,のと のとを とを,
47,やへむぐら　しげれるやどの　さびしきに,やえ,5,11,やえ やへ むぐ むぐら ぐら,やえ,やへ むぐ むぐら ぐら,
48,かぜをいたみ　いはうつなみの　おのれのみ,かぜを,5,12,かぜを かぜ をい いたみ たみ,かぜを,かぜ をい いたみ たみ,
49,みかきもり　ゑじのたくひの　よるはもえ,みかき,5,12,みかき みか きも きもり もり,みかき,みか きも きもり もり,
50,きみがため　をしからざりし　いのちさへ,きみがためを,6,14,きみ がた がため ため をし をしか,,きみ がた がため ため,をし をしか
51,かくとだに　えやはいぶきの　さしもぐさ,かく,4,9,かく とだ とだに だに,かく,とだ とだに だに,
52,あけぬれば　くるるものとは　しりながら,あけ,4,9,あけ ぬれ ぬれば れば,あけ,ぬれ ぬれば れば,
53,なげきつつ　ひとりねるよの　あくるまは,なげき,5,12,なげき なげ きつ きつつ つつ,なげき,なげ きつ きつつ つつ,
54,わすれじの　ゆくすえまでは　かたければ,わすれ,5,12,わすれ わす れじ れじの じの,わすれ,わす れじ れじの じの,
55,たきのおとは　たえてひさしく　なりぬれど,たき,4,9,たき のお おとは とは,たき,のお おとは とは,
56,あらざらむ　このよのほかの　おもひでに,あらざ,5,12,あらざ あら ざら ざらむ らむ,あらざ,あら ざら ざらむ らむ,
57,めぐりあひて　みしやそれとも　わかぬまに,め,5,10,め めぐ りあ あひて ひて,め,めぐ りあ あひて ひて,
58,ありまやま　いなのささはら　かぜふけば,ありま,5,12,ありま あり まや まやま やま,ありま,あり まや まやま やま,
59,やすらはで　ねなましものを　さよふけて,やす,4,9,やす らは らはで はで,やす,らは らはで はで,
60,おおえやま　いくののみちの　とおければ,おおえ,5,12,おおえ おお えや えやま やま,おおえ,おお えや えやま やま,
61,いにしへの　ならのみやこの　やへざくら,いに,4,9,いに しへ しへの への,いに,しへ しへの への,
62,よをこめて　とりのそらねは　はかるとも,よを,4,9,よを こめ こめて めて,よを,こめ こめて めて,
63,いまはただ　おもひたえなむ　とばかりを,いまは,5,12,いまは いま はた はただ ただ,いまは,いま はた はただ ただ,
64,あさぼらけ　うぢのかはぎり　たえだえに,あさぼらけう,6,14,あさ ぼら ぼらけ らけ うぢ うぢの,,あさ ぼら ぼらけ らけ,うぢ うぢの
65,うらみわび　ほさぬそでだに　あるものを,うら,4,9,うら みわ みわび わび,うら,みわ みわび わび,
66,もろともに　あわれとおもへ　やまざくら,もろ,4,9,もろ とも ともに もに,もろ,とも ともに もに,
67,はるのよの　ゆめばかりなる　たまくらに,はるの,5,12,はるの はる のよ のよの よの,はるの,はる のよ のよの よの,
68,こころにも　あらでうきよに　ながらへば,こころに,6,14,ここ ろに ろにも にも あら あらで,,ここ ろに ろにも にも,あら あらで
69,あらしふく　みむろのやまの　もみぢばは,あらし,5,12,あらし あら しふ しふく ふく,あらし,あら しふ しふく ふく,
70,さびしさに　やどをたちいでて　ながむれば,さ,5,10,さ さび しさ しさに さに,さ,さび しさ しさに さに,
71,ゆうされば　かどたのいなば　おとづれて,ゆふ,5,11,ゆふ ゆう され されば れば,ゆふ,ゆう され されば れば,
72,おとにきく　たかしのはまの　あだなみは,おと,4,9,おと にき にきく きく,おと,にき にきく きく,
73,たかさごの　をのへのさくら　さきにけり,たか,4,9,たか さご さごの ごの,たか,さご さごの ごの,
74,うかりける　ひとをはつせの　やまおろしよ,うか,4,9,うか りけ りける ける,うか,りけ りける ける,
75,ちぎりおきし　させもがつゆを　いのちにて,ちぎりお,6,14,ちぎ りお おきし きし させ させも,,ちぎ りお おきし きし,させ させも
76,わたのはら　こぎいでてみれば　ひさかたの,わたのはらこ,6,14,わた のは のはら はら こぎ こぎい,,わた のは のはら はら,こぎ こぎい
77,せをはやみ　いわにせかるる　たきがわの,せ,5,10,せ せを はや はやみ やみ,せ,せを はや はやみ やみ,
78,あわじしま　かようちどりの　なくこえに,あわじ,5,12,あわじ あわ じし じしま しま,あわじ,あわ じし じしま しま,
79,あきかぜに　たなびくくもの　たえまより,あきか,5,12,あきか あき かぜ かぜに ぜに,あきか,あき かぜ かぜに ぜに,
80,ながからむ　こころもしらず　くろかみの,ながか,5,12,ながか なが から からむ らむ,ながか,なが から からむ らむ,
81,ほととぎす　なきつるかたを　ながむれば,ほ,5,10,ほ ほと とぎ とぎす ぎす,ほ,ほと とぎ とぎす ぎす,
82,おもいわび　さてもいのちは　あるものを,おもい,5,12,おもい おも いわ いわび わび,おもい,おも いわ いわび わび,
83,よのなかよ　みちこそなけれ　おもひいる,よのなかよ,6,14,よの なか なかよ かよ みち みちこ,,よの なか なかよ かよ,みち みちこ
84,ながらへば　またこのごろや　しのばれむ,ながら,5,12,ながら なが らへ らへば へば,ながら,なが らへ らへば へば,
85,よもすがら　ものおもうころは　あけやらで,よも,4,9,よも すが すがら がら,よも,すが すがら がら,
86,なげけとて　つきやはものを　おもはする,なげけ,5,12,なげけ なげ けと けとて とて,なげけ,なげ けと けとて とて,
87,むらさめの　つゆもまだひぬ　まきのはに,む,5,10,む むら さめ さめの めの,む,むら さめ さめの めの,
88,なにわえの　あしのかりねの　ひとよゆえ,なにわえ,6,14,なに わえ わえの えの あし あしの,,なに わえ わえの えの,あし あしの
89,たまのおよ　たえなばたえね　ながらえば,たま,4,9,たま のお のおよ およ,たま,のお のおよ およ,
90,みせばやな　をじまのあまの　そでだにも,みせ,4,9,みせ ばや ばやな やな,みせ,ばや ばやな やな,
91,きりぎりす　なくやしもよの　さむしろに,きり,4,9,きり ぎり ぎりす りす,きり,ぎり ぎりす りす,
92,わがそでは　しおひにみえぬ　おきのいしの,わがそ,5,12,わがそ わが そで そでは では,わがそ,わが そで そでは では,
93,よのなかは　つねにもがもな　なぎさこぐ,よのなかは,6,14,よの なか なかは かは つね つねに,,よの なか なかは かは,つね つねに
94,みよしのの　やまのあきかぜ　さよふけて,みよ,4,9,みよ しの しのの のの,みよ,しの しのの のの,
95,おおけなく　うきよのたみに　おほふかな,おおけ,5,12,おおけ おお けな けなく なく,おおけ,おお けな けなく なく,
96,はなさそふ　あらしのにはの　ゆきならで,はなさ,5,12,はなさ はな さそ さそふ そふ,はなさ,はな さそ さそふ そふ,
97,こぬひとを　まつほのうらの　ゆふなぎに,こぬ,4,9,こぬ ひと ひとを とを,こぬ,ひと ひとを とを,
98,かぜそよぐ　ならのおがわの　ゆうぐれは,かぜそ,5,12,かぜそ かぜ そよ そよぐ よぐ,かぜそ,かぜ そよ そよぐ よぐ,
99,ひともをし　ひともうらめし　あぢきなく,ひとも,5,12,ひとも ひと もを もをし をし,ひとも,ひと もを もをし をし,
100,ももしきや　ふるきのきばの　しのぶにも,もも,4,9,もも しき しきや きや,もも,しき しきや きや,
