札番号,元の漢字,元のひらがな,元の現代語,単語数（制限なし）,総文字数（制限なし）,決まり字,現代語発音（全体）,漢字パーツ(1句目),ひらがなパーツ(1句目)
52,明けぬれば　暮るるものとは　知りながら,あけぬれば　くるるものとは　しりながら,,6,14,あけ,,明け 明けぬ れば ぬれば,ぬれ
53,嘆きつつ　ひとり寝る夜の　明くる間は,なげきつつ　ひとりねるよの　あくるまは,,7,17,なげき,,嘆き 嘆きつ つつ きつつ,なげ きつ
54,忘れじの　ゆく末までは　かたければ,わすれじの　ゆくすゑまでは　かたければ,,7,17,わすれ,,忘れ 忘れじ じの れじの,わす れじ
55,滝の音は　絶えて久しく　なりぬれど,たきのおとは　たえてひさしく　なりぬれど,,8,19,たき,,滝の 滝の音 音は の音は,のお おとは とは
56,あらざらむ　この世のほかの　思ひ出に,あらざらむ　このよのほかの　おもひでに,,5,12,あらざ,,あら らむ ざらむ,ざら
57,めぐり逢ひて　見しやそれとも　わかぬ間に,めぐりあひて　みしやそれとも　わかぬまに,,7,16,め,,めぐ めぐり ひて 逢ひて,りあ あひて
58,有馬山　猪名の笹原　風吹けば,ありまやま　ゐなのささはら　かぜふけば,,8,19,ありま,,有馬 有馬山 馬山,あり まや まやま やま
59,やすらはで　寝なましものを　さ夜更けて,やすらはで　ねなましものを　さよふけて,,5,12,やす,,やすら はで らはで,らは
60,大江山　いく野の道の　遠ければ,おおえやま　いくののみちの　とおければ,おおえ,9,22,おほえ,おおえ,大江 大江山 江山,おお えや えやま やま
61,いにしへの　奈良の都の　八重桜,いにしへの　ならのみやこの　やへざくら,,5,12,いに,,いにし への しへの,しへ
62,夜をこめて　鳥の空音は　謀るとも,よをこめて　とりのそらねは　はかるとも,よお,7,16,よを,よお,夜を 夜をこ めて こめて,こめ
63,今はただ　思ひ絶えなむ　とばかりを,いまはただ　おもひたえなむ　とばかりを,,7,17,いまは,,今は 今はた ただ はただ,いま はた
64,朝ぼらけ　宇治の川霧　たえだえに,あさぼらけ　うぢのかはぎり　たえだえに,,7,20,あさぼらけう,,朝ぼ 朝ぼら らけ ぼらけ,あさ ぼら
65,恨みわび　ほさぬ袖だに　あるものを,うらみわび　ほさぬそでだに　あるものを,,6,14,うら,,恨み 恨みわ わび みわび,みわ
66,もろともに　あはれと思へ　山桜,もろともに　あはれとおもへ　やまざくら,,5,12,もろ,,もろと もに ともに,とも
67,春の夜の　夢ばかりなる　手枕に,はるのよの　ゆめばかりなる　たまくらに,,9,22,はるの,,春の 春の夜 夜の の夜の,はる のよ のよの よの
68,心にも　あらで憂き夜に　長らへば,こころにも　あらでうきよに　ながらへば,,7,18,こころに,,心に 心にも にも,ここ ろに ろにも
69,嵐吹く　三室の山の　もみぢ葉は,あらしふく　みむろのやまの　もみぢばは,,8,19,あらし,,嵐吹 嵐吹く 吹く,あら しふ しふく ふく
70,寂しさに　宿を立ち出でて　ながむれば,さびしさに　やどをたちいでて　ながむれば,,7,15,さ,,寂し 寂しさ さに しさに,さび しさ
71,夕されば　門田の稲葉　訪れて,ゆふされば　かどたのいなば　おとづれて,ゆう,7,16,ゆふ,ゆう,夕さ 夕され れば されば,され
72,音に聞く　高師の浜の　あだ波は,おとにきく　たかしのはまの　あだなみは,,8,19,おと,,音に 音に聞 聞く に聞く,にき にきく きく
73,高砂の　尾の上の桜　咲きにけり,たかさごの　をのへのさくら　さきにけり,,7,16,たか,,高砂 高砂の 砂の,さご さごの ごの
74,憂かりける　人を初瀬の　山おろしよ,うかりける　ひとをはつせの　やまおろしよ,,6,14,うか,,憂か 憂かり ける りける,りけ
75,契りおきし　させもが露を　命にて,ちぎりおきし　させもがつゆを　いのちにて,,7,18,ちぎりお,,契り 契りお きし おきし,ちぎ りお
76,わたの原　漕ぎ出でて見れば　ひさかたの,わたのはら　こぎいでてみれば　ひさかたの,,8,23,わたのはらこ,,わた わたの の原 たの原,のは のはら はら
77,瀬をはやみ　岩にせかるる　滝川の,せをはやみ　いはにせかるる　たきがはの,,7,15,せ,,瀬を 瀬をは やみ はやみ,せを はや
78,淡路島　通ふ千鳥の　鳴く声に,あわじしま　かよふちどりの　なくこゑに,あわじ,9,22,あはぢ,あわじ,淡路 淡路島 路島,あわ じし じしま しま
79,秋風に　たなびく雲の　絶え間より,あきかぜに　たなびくくもの　たえまより,,8,19,あきか,,秋風 秋風に 風に,あき かぜ かぜに ぜに
80,長からむ　心も知らず　黒髪の,ながからむ　こころもしらず　くろかみの,,7,17,ながか,,長か 長から らむ からむ,なが から
81,ほととぎす　鳴きつる方を　ながむれば,ほととぎす　なきつるかたを　ながむれば,,6,13,ほ,,ほと ほとと ぎす とぎす,とぎ
82,思ひわび　さても命は　あるものを,おもひわび　さてもいのちは　あるものを,おもい,8,20,おもひ,おもい,思ひ 思ひわ わび ひわび,おも ひわ
83,世の中よ　道こそなけれ　思ひ入る,よのなかよ　みちこそなけれ　おもひいる,,9,24,よのなかよ,,世の 世の中 中よ の中よ,よの なか なかよ かよ
84,長らえば　またこのごろや　しのばれむ,ながらへば　またこのごろや　しのばれむ,,9,22,ながら,,長ら 長らえ えば らえば,なが らへ らへば へば
85,夜もすがら　物思ふころは　明けやらで,よもすがら　ものおもふころは　あけやらで,,6,14,よも,,夜も 夜もす がら すがら,すが
86,嘆けとて　月やは物を　思はする,なげけとて　つきやはものを　おもはする,,7,17,なげけ,,嘆け 嘆けと とて けとて,なげ けと
87,村雨の　露もまだ干ぬ　真木の葉に,むらさめの　つゆもまだひぬ　まきのはに,,8,17,む,,村雨 村雨の 雨の,むら さめ さめの めの
88,難波江の　蘆のかりねの　ひとよゆゑ,なにわえの　あしのかりねの　ひとよゆゑ,,9,23,なにわえ,,難波 難波江 江の 波江の,なに わえ わえの えの
89,玉の緒よ　絶えなば絶えね　ながらえば,たまのおよ　たえなばたえね　ながらえば,,8,19,たま,,玉の 玉の緒 緒よ の緒よ,のお のおよ およ
90,見せばやな　雄島の海人の　袖だにも,みせばやな　をじまのあまの　そでだにも,,6,14,みせ,,見せ 見せば やな ばやな,ばや
91,きりぎりす　鳴くや霜夜の　さむしろに,きりぎりす　なくやしもよの　さむしろに,,5,12,きり,,きりぎ りす ぎりす,ぎり
92,わが袖は　潮干に見えぬ　沖の石の,わがそでは　しほひにみえぬ　おきのいしの,,8,20,わがそ,,わが わが袖 袖は が袖は,そで そでは では
93,世の中は　常にもがもな　渚漕ぐ,よのなかは　つねにもがもな　なぎさこぐ,,9,24,よのなかは,,世の 世の中 中は の中は,よの なか なかは かは
94,み吉野の　山の秋風　さよ更けて,みよしのの　やまのあきかぜ　さよふけて,,8,19,みよ,,み吉 み吉野 野の 吉野の,しの しのの のの
95,おほけなく　憂き世の民に　おほふかな,おおけなく　うきよのたみに　おほふかな,おおけ,7,17,おほけ,おおけ,おほ なく けなく,おお けな
96,花さそふ　嵐の庭の　雪ならで,はなさそふ　あらしのにはの　ゆきならで,,7,17,はなさ,,花さ 花さそ そふ さそふ,はな さそ
97,来ぬ人を　松帆の浦の　夕なぎに,こぬひとを　まつほのうらの　ゆふなぎに,,8,19,こぬ,,来ぬ 来ぬ人 人を ぬ人を,ひと ひとを とを
98,風そよぐ　楢の小川の　夕暮は,かぜそよぐ　ならのをがはの　ゆふぐれは,,7,17,かぜそ,,風そ 風そよ よぐ そよぐ,かぜ そよ
99,人も惜し　人も恨めし　あぢきなく,ひともをし　ひともうらめし　あぢきなく,,9,22,ひとも,,人も 人も惜 惜し も惜し,ひと もを もをし をし
100,百敷や　古き軒端の　しのぶにも,ももしきや　ふるきのきばの　しのぶにも,,7,16,もも,,百敷 百敷や 敷や,しき しきや きや
