札番号,カタカナ本文,カタカナ決まり字,単語数,総文字数,抽出全単語リスト,決まり字パーツ,1句目パーツ,2句目パーツ
84,ナガラエバ　マタコノゴロヤ　シノバレン,ナガラ,5,12,ナガラ ナガ ラエ ラエバ エバ,ナガラ,ナガ ラエ ラエバ エバ,
85,ヨモスガラ　モノオモウコロワ　アケヤラデ,ヨモ,4,9,ヨモ スガ スガラ ガラ,ヨモ,スガ スガラ ガラ,
86,ナゲケトテ　ツキヤワモノヲ　オモワスル,ナゲケ,5,12,ナゲケ ナゲ ケト ケトテ トテ,ナゲケ,ナゲ ケト ケトテ トテ,
87,ムラサメノ　ツユモマダヒヌ　マキノハニ,ム,5,10,ム ムラ サメ サメノ メノ,ム,ムラ サメ サメノ メノ,
88,ナニワエノ　アシノカリネノ　ヒトヨユエ,ナニワエ,6,14,ナニ ワエ ワエノ エノ アシ アシノ,,ナニ ワエ ワエノ エノ,アシ アシノ
89,タマノオヨ　タエナバタエネ　ナガラエバ,タマ,4,9,タマ ノオ ノオヨ オヨ,タマ,ノオ ノオヨ オヨ,
90,ミセバヤナ　ヲジマノアマノ　ソデダニモ,ミセ,4,9,ミセ バヤ バヤナ ヤナ,ミセ,バヤ バヤナ ヤナ,
91,キリギリス　ナクヤシモヨノ　サムシロニ,キリ,4,9,キリ ギリ ギリス リス,キリ,ギリ ギリス リス,
92,ワガソデワ　シホイニミエヌ　オキノイシノ,ワガソ,5,12,ワガソ ワガ ソデ ソデワ デワ,ワガソ,ワガ ソデ ソデワ デワ,
93,ヨノナカワ　ツネニモガモナ　ナギサコグ,ヨノナカハ,6,14,ヨノ ナカ ナカワ カワ ツネ ツネニ,,ヨノ ナカ ナカワ カワ,ツネ ツネニ
94,ミヨシノノ　ヤマノアキカゼ　サヨフケテ,ミヨ,4,9,ミヨ シノ シノノ ノノ,ミヨ,シノ シノノ ノノ,
95,オオケナク　ウキヨノタミニ　オオウカナ,オオケ,5,12,オオケ オオ ケナ ケナク ナク,オオケ,オオ ケナ ケナク ナク,
96,ハナサソウ　アラシノニワノ　ユキナラデ,ハナサ,5,12,ハナサ ハナ サソ サソウ ソウ,ハナサ,ハナ サソ サソウ ソウ,
97,コヌヒトヲ　マツホノウラノ　ユフナギニ,コヌ,4,9,コヌ ヒト ヒトヲ トヲ,コヌ,ヒト ヒトヲ トヲ,
98,カゼソヨグ　ナラノオガワノ　ユウグレワ,カゼソ,5,12,カゼソ カゼ ソヨ ソヨグ ヨグ,カゼソ,カゼ ソヨ ソヨグ ヨグ,
99,ヒトモオシ　ヒトモウラメシ　アヂキナク,ヒトモ,5,12,ヒトモ ヒト モオ モオシ オシ,ヒトモ,ヒト モオ モオシ オシ,
100,モモシキヤ　フルキノキバノ　シノブニモ,モモ,4,9,モモ シキ シキヤ キヤ,モモ,シキ シキヤ キヤ,
